Niviventer-rapit,Niviventer,rapit,31298624,146.94621571862072,4599214354
Phloeomys-cumingii,Phloeomys,cumingii,33616120,149.39411541248663,5022050511
Aethomys-nyikae,Aethomys,nyikae,39160080,149.47460898956285,5853437646
Hybomys-planifrons,Hybomys,planifrons,40597440,149.07087082338197,6051895734
Pogonomys-macrourus,Pogonomys,macrourus,43026862,148.45361044456368,6387493010
Musseromys-anacuao,Musseromys,anacuao,31513488,149.66428083111586,4716443518
Limnomys-sibuanus,Limnomys,sibuanus,32443936,148.94360967793796,4832316940
Pithecheir-melanurus,Pithecheir,melanurus,29841598,148.8059097572456,4440606139
Thamnomys-sp.,Thamnomys,sp.,41389532,149.1426030378889,6172942541
Mammelomys-lanosus,Mammelomys,lanosus,32284246,148.06338435161223,4780114724
Xenuromys-barbatus,Xenuromys,barbatus,42745120,149.02537606632055,6370107583
Hydromys-sp-nov,Hydromys,sp nov,38498866,144.84445375611844,5576347216
Xeromys-myoides,Xeromys,myoides,28938296,149.40051169564373,4323396230
Pseudohydromys-ellermani,Pseudohydromys,ellermani,39192850,147.71777500232824,5789480598
Leptomys-elegans,Leptomys,elegans,32684744,148.44442107302416,4851867901
Pelomys-isseli,Pelomys,isseli,37650270,149.28104082653326,5620471493
Mus-pos_ctrl_F,Mus,pos_ctrl_F,4091936,146.49778735542296,599459570
Mus-pos_ctrl_E,Mus,pos_ctrl_E,3089696,148.01253132994313,457313726
Niviventer-bukit,Niviventer,bukit,37958500,148.33988397855552,5630759486
Genus-sp-nov,Genus,sp nov,36802616,147.8551834739139,5441457541
Saxatilomys-paulinae,Saxatilomys,paulinae,34486190,148.3710509337216,5116752253
Crunomys-sp.,Crunomys,sp.,32397968,147.60345577846115,4782052037
Microhydromys-richardsoni,Microhydromys,richardsoni,37184758,148.16796196441564,5509589809
Uromys-caudimaculatus,Uromys,caudimaculatus,36719838,149.1930460858787,5478344483
Mirzamys-louiseae,Mirzamys,louiseae,41214466,148.69801860346803,6128509432
Papagomys-armandvillei,Papagomys,armandvillei,38627488,148.59705402018375,5739930921
Chiromyscus-chiropus,Chiromyscus,chiropus,34663840,148.2830534643594,5140060040
Pogonomelomys-bruijni,Pogonomelomys,bruijni,31450314,148.84636808395618,4681265014
Paraleptomys-sp,Paraleptomys,sp,41270412,147.93237690479077,6105230143
Oenomys-hypoxanthus,Oenomys,hypoxanthus,37142664,149.083973594355,5537375939
Bandicota-indica,Bandicota,indica,30089924,147.4199435664909,4435854898
Rattus-xanthurus,Rattus,xanthurus,37535988,148.7513132996526,5583527511
Lenomys-meyeri,Lenomys,meyeri,39597398,143.66395663169584,5688718869
Thamnomys-kempi,Thamnomys,kempi,32737844,149.29130971483644,4887475608
Parahydromys-asper,Parahydromys,asper,35039168,148.1911994314477,5192496333
Rattus-argentiventer,Rattus,argentiventer,30931360,148.73299641528857,4600513856
Uromys-sp-nov,Uromys,sp nov,36794368,148.97124260973854,5481302722
Otomys-tropicalis,Otomys,tropicalis,32163816,147.61397795584952,4747828826
Niviventer-cremoriventer,Niviventer,cremoriventer,46458810,147.97219526285758,6874612105
Otomys-denti,Otomys,denti,37709588,145.64253200008443,5492119877
Praomys-jacksoni,Praomys,jacksoni,38018516,146.02589406698567,5551687790
Mus-pos_ctrl_C,Mus,pos_ctrl_C,3480234,148.3836388587664,516409785
Mus-pos_ctrl_B,Mus,pos_ctrl_B,3290854,148.6042349493475,489034841
Mus-pos_ctrl_D1,Mus,pos_ctrl_D1,2388050,146.23251816335505,349210565
Margaretamys-christinae,Margaretamys,christinae,39450864,148.34139853058733,5852196339
Dasymys-incomtus,Dasymys,incomtus,40419682,145.08278756374185,5864200137
Taeromys-callitrichus,Taeromys,callitrichus,42492938,143.96410930682177,6117457971
Hybomys-lunaris,Hybomys,lunaris,40547540,147.53999542265697,5982383866
