Pseudomys-delicatulus,30.8731
Pseudomys-desertor,35.9049
Pseudomys-fieldi,29.5749
Pseudomys-fumeus,48.0363
Pseudomys-gouldii,36.6366
Pseudomys-gracilicaudatus,31.781
Pseudomys-hermannsburgensis,30.5737
Pseudomys-higginsi,32.6036
Pseudomys-johnsoni,38.2906
Pseudomys-nanus,34.0855
Pseudomys-novaehollandiae,64.4264
Pseudomys-occidentalis,34.3549
Pseudomys-oralis,47.2862
Pseudomys-patrius,29.9976
Pseudomys-pilligaensis,22.0801
