# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<115>	0.508	5039.0	0.094	929.0	0.094	933.0	0.304	3009.0	9910.0	1785.0	0.476	18582.15	0.237	9301.47	0.287	11347.17	39230.79	100	0.509	0.0030758500
<116>	0.21	1919.0	0.07	639.0	0.083	759.0	0.636	5808.0	9125.0	2570.0	0.399	8124.01	0.305	6243.28	0.297	6075.98	20443.27	100	0.209	0.0009809420
<118>	0.311	3401.0	0.03	325.0	0.036	388.0	0.623	6807.0	10921.0	774.0	0.4	17979.13	0.286	12827.85	0.314	14068.59	44875.57	100	0.309	0.0023441200
<119>	0.182	1816.0	0.037	375.0	0.046	458.0	0.735	7353.0	10002.0	1693.0	0.392	17022.19	0.293	12741.95	0.314	13689.95	43454.09	100	0.18	0.0012433200
<121>	0.385	2937.0	0.169	1290.0	0.188	1436.0	0.257	1959.0	7622.0	4073.0	0.388	16062.9	0.289	11983.04	0.323	13365.53	41411.47	100	0.377	0.0025814200
<6>	0.573	5187.0	0.03	271.0	0.031	284.0	0.365	3305.0	9047.0	2648.0	0.631	12043.64	0.193	3648.42	0.176	3428.18	19120.24	100	0.569	0.0032529100
<122>	0.426	4261.0	0.038	378.0	0.041	407.0	0.496	4966.0	10012.0	1683.0	0.568	9363.42	0.253	4023.71	0.179	2847.71	16234.84	100	0.422	0.0024961400
<123>	0.051	428.0	0.07	590.0	0.097	813.0	0.781	6545.0	8376.0	3319.0	0.366	6471.69	0.333	5864.22	0.301	5144.11	17480.02	100	0.05	0.0001675370
<62>	0.27	2661.0	0.038	377.0	0.03	295.0	0.662	6514.0	9847.0	1848.0	0.449	10547.56	0.29	6815.14	0.261	6179.1	23541.8	100	0.268	0.0017265600
<125>	0.199	1969.0	0.024	242.0	0.042	418.0	0.734	7256.0	9885.0	1810.0	0.445	10196.08	0.254	5855.9	0.301	6956.28	23008.26	100	0.198	0.0015968800
<126>	0.156	1771.0	0.045	512.0	0.04	450.0	0.76	8644.0	11377.0	318.0	0.372	16030.05	0.308	13334.64	0.321	13894.74	43259.43	100	0.154	0.0012101200
<96>	0.399	4071.0	0.023	231.0	0.025	252.0	0.553	5644.0	10198.0	1497.0	0.428	19212.23	0.285	12685.22	0.287	12855.02	44752.47	100	0.391	0.0031237700
<120>	0.868	9778.0	0.002	19.0	0.002	20.0	0.128	1446.0	11263.0	432.0	0.781	71552.42	0.11	10055.79	0.109	9948.48	91556.69	100	0.86	0.0262471000
<127>	0.853	6684.0	0.004	28.0	0.006	44.0	0.138	1084.0	7840.0	3855.0	0.738	57813.88	0.13	10184.7	0.132	10289.47	78288.05	100	0.843	0.0237327000
<128>	0.223	1804.0	0.09	731.0	0.096	777.0	0.591	4784.0	8096.0	3599.0	0.418	6857.94	0.287	4667.41	0.294	4778.63	16303.98	100	0.218	0.0011641900
<129>	0.157	1358.0	0.04	345.0	0.051	446.0	0.752	6522.0	8671.0	3024.0	0.411	7779.48	0.3	5757.94	0.288	5321.42	18858.84	100	0.155	0.0009855000
<15>	0.575	4123.0	0.016	114.0	0.01	73.0	0.399	2856.0	7166.0	4529.0	0.633	14663.19	0.191	4482.28	0.177	4083.32	23228.79	100	0.573	0.0053128300
<130>	0.088	917.0	0.091	943.0	0.034	348.0	0.787	8175.0	10383.0	1312.0	0.398	9742.67	0.325	7937.71	0.276	6744.92	24425.3	100	0.086	0.0005653240
<26>	0.759	6478.0	0.002	19.0	0.003	22.0	0.237	2021.0	8540.0	3155.0	0.818	28353.32	0.094	3207.9	0.088	3007.56	34568.78	100	0.756	0.0090670200
<131>	0.156	1606.0	0.092	949.0	0.076	781.0	0.676	6973.0	10309.0	1386.0	0.339	15626.55	0.339	15572.82	0.322	14809.37	46008.74	100	0.154	0.0009372470
<46>	0.33	2460.0	0.104	775.0	0.116	864.0	0.45	3348.0	7447.0	4248.0	0.381	21679.62	0.309	17615.08	0.31	17646.25	56940.95	100	0.329	0.0028981200
<132>	0.41	4267.0	0.079	823.0	0.087	907.0	0.423	4401.0	10398.0	1297.0	0.402	24287.99	0.297	17911.22	0.301	18185.15	60384.36	100	0.404	0.0035713200
<52>	0.401	3639.0	0.039	353.0	0.038	349.0	0.522	4742.0	9083.0	2612.0	0.52	11401.96	0.25	5566.78	0.231	4996.62	21965.36	100	0.326	0.0024428600
<133>	0.18	1481.0	0.063	514.0	0.095	782.0	0.662	5441.0	8218.0	3477.0	0.379	7061.21	0.308	5779.01	0.313	5811.24	18651.46	100	0.169	0.0009539430
<135>	0.113	1169.0	0.088	916.0	0.028	289.0	0.771	7989.0	10363.0	1332.0	0.371	9489.06	0.355	9080.31	0.274	7026.61	25595.98	100	0.109	0.0008088660
<64>	0.322	3087.0	0.043	409.0	0.021	199.0	0.614	5881.0	9576.0	2119.0	0.477	11692.09	0.285	7012.31	0.239	5920.49	24624.89	100	0.32	0.0019585500
<39>	0.921	8613.0	0.003	31.0	0.004	34.0	0.072	672.0	9350.0	2345.0	0.856	81910.45	0.07	6713.01	0.073	7007.57	95631.03	100	0.92	0.0257165000
<136>	0.6	6097.0	0.022	219.0	0.029	299.0	0.349	3548.0	10163.0	1532.0	0.533	33185.83	0.228	14158.19	0.239	14746.79	62090.81	100	0.587	0.0065851400
<138>	0.308	3047.0	0.052	515.0	0.046	453.0	0.595	5887.0	9902.0	1793.0	0.458	10212.66	0.283	6267.11	0.259	5767.62	22247.39	100	0.298	0.0021942000
<9>	0.761	5265.0	0.01	66.0	0.009	63.0	0.22	1521.0	6915.0	4780.0	0.778	22367.45	0.108	3069.11	0.114	3229.43	28665.99	100	0.759	0.0088489000
<139>	0.184	1758.0	0.032	309.0	0.046	437.0	0.738	7046.0	9550.0	2145.0	0.418	10059.31	0.284	6857.11	0.298	7201.13	24117.55	100	0.175	0.0014020500
<140>	0.71	5888.0	0.018	152.0	0.014	114.0	0.258	2142.0	8296.0	3399.0	0.583	40353.5	0.208	14395.25	0.209	14493.42	69242.17	100	0.617	0.01209422
<141>	0.405	4059.0	0.032	320.0	0.027	274.0	0.536	5380.0	10033.0	1662.0	0.503	12495.29	0.25	6264.02	0.247	6120.13	24879.44	100	0.399	0.0036875300
<134>	0.266	2858.0	0.04	431.0	0.094	1011.0	0.6	6456.0	10756.0	939.0	0.458	10438.45	0.257	5764.9	0.285	6341.92	22545.27	100	0.263	0.0017763000
<142>	0.279	2676.0	0.059	569.0	0.053	512.0	0.608	5836.0	9593.0	2102.0	0.441	10394.56	0.265	6303.54	0.294	7009.26	23707.36	100	0.247	0.0016680900
<104>	0.5	4631.0	0.034	318.0	0.031	286.0	0.434	4022.0	9257.0	2438.0	0.584	15069.93	0.199	5131.06	0.216	5533.18	25734.17	100	0.433	0.00376654
<143>	0.334	2843.0	0.063	532.0	0.069	588.0	0.534	4546.0	8509.0	3186.0	0.381	23337.07	0.309	18903.48	0.311	19033.91	61274.46	100	0.316	0.0031389700
<137>	0.412	4310.0	0.021	223.0	0.024	248.0	0.543	5692.0	10473.0	1222.0	0.419	26277.43	0.285	17823.98	0.296	18499.98	62601.39	100	0.405	0.0051513000
<144>	0.557	5873.0	0.026	273.0	0.02	206.0	0.397	4185.0	10537.0	1158.0	0.603	18684.17	0.191	5713.85	0.207	6274.61	30672.63	100	0.555	0.0070371100
<16>	0.884	5344.0	0.004	24.0	0.007	40.0	0.105	635.0	6043.0	5652.0	0.92	41236.61	0.039	1707.61	0.04	1708.33	44652.55	100	0.884	0.0205132000
<145>	0.479	4645.0	0.011	103.0	0.016	151.0	0.494	4792.0	9691.0	2004.0	0.576	19631.53	0.205	6962.56	0.219	7501.1	34095.19	100	0.452	0.0040490900
<147>	0.697	7329.0	0.007	76.0	0.007	69.0	0.29	3047.0	10521.0	1174.0	0.67	32524.66	0.164	7906.34	0.166	7897.54	48328.54	100	0.695	0.0124830000
<124>	0.706	7168.0	0.019	190.0	0.014	141.0	0.262	2661.0	10160.0	1535.0	0.609	33180.75	0.199	10898.53	0.192	10535.05	54614.33	100	0.706	0.0081751200
<61>	0.678	6186.0	0.006	54.0	0.005	50.0	0.31	2831.0	9121.0	2574.0	0.724	24768.85	0.134	4572.27	0.141	4823.05	34164.17	100	0.647	0.0078964600
<148>	0.182	1750.0	0.103	987.0	0.176	1687.0	0.539	5166.0	9590.0	2105.0	0.333	9316.57	0.338	9550.61	0.328	9254.34	28121.52	100	0.172	0.0006416440
<149>	0.326	3715.0	0.142	1612.0	0.153	1748.0	0.379	4316.0	11391.0	304.0	0.356	14699.27	0.319	13092.32	0.325	13326.31	41117.9	100	0.326	0.0022034700
<102>	0.553	6044.0	0.01	113.0	0.01	110.0	0.427	4668.0	10935.0	760.0	0.602	22101.24	0.211	7778.6	0.187	6848.09	36727.93	100	0.552	0.0046843800
<150>	0.334	3632.0	0.031	340.0	0.037	401.0	0.598	6512.0	10885.0	810.0	0.445	11840.08	0.288	7656.39	0.267	7103.21	26599.68	100	0.32	0.0017947500
<105>	0.321	3526.0	0.054	592.0	0.066	720.0	0.56	6149.0	10987.0	708.0	0.44	11480.1	0.272	7156.99	0.288	7499.45	26136.54	100	0.309	0.0019406200
<151>	0.711	7919.0	0.009	103.0	0.009	103.0	0.27	3007.0	11132.0	563.0	0.633	32907.81	0.176	8560.3	0.191	9700.16	51168.27	100	0.71	0.0140088000
<86>	0.793	6956.0	0.028	249.0	0.025	222.0	0.153	1343.0	8770.0	2925.0	0.663	31657.76	0.175	8210.14	0.163	7536.8	47404.7	100	0.793	0.0128722000
<152>	0.532	6099.0	0.016	181.0	0.015	172.0	0.437	5012.0	11464.0	231.0	0.553	20507.56	0.217	7991.02	0.231	8558.19	37056.77	100	0.523	0.0049400500
<106>	0.711	7989.0	0.004	45.0	0.005	58.0	0.28	3140.0	11232.0	463.0	0.708	29771.06	0.149	6086.36	0.143	5953.67	41811.09	100	0.706	0.0087618700
<154>	0.622	7095.0	0.006	67.0	0.006	65.0	0.366	4178.0	11405.0	290.0	0.611	29809.35	0.192	9327.8	0.198	9677.03	48814.18	100	0.616	0.0081292700
<91>	0.572	6068.0	0.013	139.0	0.013	135.0	0.402	4259.0	10601.0	1094.0	0.568	24576.46	0.223	9642.68	0.209	9078.47	43297.61	100	0.572	0.0054704300
<155>	0.192	1986.0	0.078	812.0	0.19	1963.0	0.54	5595.0	10356.0	1339.0	0.324	13530.0	0.299	12505.13	0.378	15794.31	41829.44	100	0.191	0.0010327300
<156>	0.282	2947.0	0.02	212.0	0.015	160.0	0.682	7113.0	10432.0	1263.0	0.393	16097.0	0.275	11253.62	0.332	13557.12	40907.74	100	0.282	0.0020256100
<117>	0.139	1462.0	0.046	479.0	0.038	397.0	0.777	8162.0	10500.0	1195.0	0.405	15192.54	0.279	10498.04	0.316	11890.96	37581.54	100	0.139	0.0004756860
<157>	0.329	3741.0	0.022	255.0	0.025	285.0	0.623	7085.0	11366.0	329.0	0.424	17721.97	0.272	11439.36	0.304	12730.38	41891.71	100	0.327	0.0019859000
<108>	0.754	6706.0	0.006	55.0	0.009	81.0	0.23	2047.0	8889.0	2806.0	0.658	37010.08	0.162	9075.03	0.18	10122.02	56207.13	100	0.754	0.0117691000
<158>	0.463	3849.0	0.046	379.0	0.062	519.0	0.429	3564.0	8311.0	3384.0	0.45	18794.65	0.273	11402.99	0.277	11582.32	41779.96	100	0.46	0.0040065300
<159>	0.611	4281.0	0.036	250.0	0.052	362.0	0.302	2113.0	7006.0	4689.0	0.522	26353.48	0.223	11217.3	0.255	12892.04	50462.82	100	0.608	0.0074805200
<160>	0.642	5687.0	0.007	64.0	0.006	57.0	0.344	3051.0	8859.0	2836.0	0.538	33858.36	0.231	14533.57	0.231	14522.61	62914.54	100	0.637	0.0110025000
<146>	0.214	2502.0	0.081	950.0	0.122	1420.0	0.582	6794.0	11666.0	29.0	0.351	22573.35	0.323	20800.39	0.326	20965.25	64338.99	100	0.209	0.0017899200
<153>	0.787	8832.0	0.004	43.0	0.004	41.0	0.205	2302.0	11218.0	477.0	0.668	50322.49	0.165	12388.8	0.167	12459.86	75171.15	100	0.785	0.0228000000
<161>	0.386	4466.0	0.068	787.0	0.063	727.0	0.483	5593.0	11573.0	122.0	0.391	26828.5	0.304	20776.16	0.305	20912.64	68517.3	100	0.382	0.0037136100
<80>	0.836	6654.0	0.021	169.0	0.021	166.0	0.122	975.0	7964.0	3731.0	0.642	44320.88	0.182	12585.3	0.175	12068.84	68975.02	100	0.835	0.0181659000
<162>	0.738	6121.0	0.017	145.0	0.019	154.0	0.226	1879.0	8299.0	3396.0	0.526	35732.67	0.231	15702.98	0.243	16515.22	67950.87	100	0.736	0.0169310000
<1>	0.844	3847.0	0.028	126.0	0.032	147.0	0.096	439.0	4559.0	7136.0	0.634	48198.89	0.179	13573.86	0.187	14182.23	75954.98	100	NA	0.0148384000
<163>	0.844	3847.0	0.028	126.0	0.032	147.0	0.096	439.0	4559.0	7136.0	0.633	50403.08	0.179	14288.3	0.187	14919.63	79611.01	100	NA	0.0160898000
