# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<38>	0.901	6202.0	0.024	164.0	0.01	70.0	0.065	445.0	6881.0	4814.0	0.907	43625.92	0.058	2743.35	0.035	1665.63	48034.9	100	0.901	0.0159811000
<41>	0.738	5736.0	0.071	555.0	0.068	532.0	0.122	948.0	7771.0	3924.0	0.65	21397.5	0.174	5749.57	0.176	5794.58	32941.65	100	0.736	0.0048340900
<43>	0.604	5148.0	0.085	728.0	0.072	610.0	0.239	2037.0	8523.0	3172.0	0.558	25878.8	0.219	10155.27	0.222	10345.41	46379.48	100	0.603	0.0043600500
<45>	0.673	3616.0	0.087	469.0	0.104	558.0	0.136	728.0	5371.0	6324.0	0.581	15765.16	0.208	5656.36	0.211	5716.94	27138.46	100	0.687	0.0049633000
<47>	0.691	4934.0	0.101	720.0	0.077	550.0	0.131	936.0	7140.0	4555.0	0.601	19176.57	0.199	6341.55	0.2	6360.58	31878.7	100	0.69	0.0052531700
<48>	0.76	6265.0	0.074	610.0	0.063	523.0	0.102	844.0	8242.0	3453.0	0.632	25602.7	0.179	7204.42	0.189	7633.87	40440.99	100	0.759	0.0063043500
<50>	0.631	4815.0	0.125	957.0	0.12	915.0	0.124	949.0	7636.0	4059.0	0.57	15406.07	0.219	5930.52	0.21	5695.86	27032.45	100	0.617	0.0029198600
<2>	0.938	7858.0	0.014	120.0	0.007	55.0	0.041	340.0	8373.0	3322.0	0.926	80512.23	0.039	3372.18	0.035	3005.23	86889.64	100	0.939	0.0259114000
<51>	0.727	7442.0	0.078	794.0	0.083	851.0	0.113	1153.0	10240.0	1455.0	0.517	31749.98	0.24	14733.13	0.244	14992.64	61475.75	100	0.727	0.0071522100
<53>	0.182	848.0	0.164	766.0	0.174	812.0	0.48	2236.0	4662.0	7033.0	0.314	2720.55	0.325	2733.41	0.361	3168.17	8622.13	100	0.181	0.0003833390
<54>	0.225	2233.0	0.037	366.0	0.041	409.0	0.698	6938.0	9946.0	1749.0	0.437	6426.06	0.247	3647.42	0.316	4597.43	14670.91	100	0.178	0.001233669
<55>	0.431	4174.0	0.025	245.0	0.022	215.0	0.521	5046.0	9680.0	2015.0	0.585	9647.48	0.221	3641.46	0.194	3181.54	16470.48	100	0.416	0.0024638800
<57>	0.77	6380.0	0.037	309.0	0.043	353.0	0.15	1239.0	8281.0	3414.0	0.693	29080.04	0.148	6250.65	0.159	6711.44	42042.13	100	0.77	0.0082721100
<19>	0.303	2206.0	0.109	791.0	0.091	665.0	0.498	3627.0	7289.0	4406.0	0.385	7888.39	0.312	6434.33	0.303	6274.37	20597.09	100	0.303	0.0012914000
<58>	0.586	5039.0	0.02	173.0	0.021	182.0	0.372	3199.0	8593.0	3102.0	0.649	15999.39	0.168	4120.13	0.183	4474.88	24594.4	100	0.586	0.0041725100
<59>	0.185	1299.0	0.151	1061.0	0.143	1005.0	0.52	3643.0	7008.0	4687.0	0.313	7392.9	0.302	7110.13	0.384	9165.85	23668.88	100	0.185	0.0004795950
<60>	0.653	2712.0	0.13	541.0	0.085	353.0	0.132	548.0	4154.0	7541.0	0.549	10408.43	0.23	4276.34	0.221	4213.55	18898.32	100	0.653	0.0061222700
<63>	0.384	3145.0	0.093	765.0	0.113	929.0	0.409	3348.0	8187.0	3508.0	0.491	6870.55	0.234	3287.05	0.275	3852.0	14009.6	100	0.383	0.0013702400
<65>	0.227	1428.0	0.201	1264.0	0.163	1027.0	0.409	2574.0	6293.0	5402.0	0.369	4348.13	0.314	3717.52	0.317	3791.41	11857.06	100	0.225	0.0003422390
<67>	0.443	2161.0	0.09	440.0	0.077	376.0	0.389	1896.0	4873.0	6822.0	0.467	5540.15	0.264	3149.18	0.269	3208.85	11898.18	100	0.442	0.0022630700
<68>	0.187	1851.0	0.075	744.0	0.098	966.0	0.641	6346.0	9907.0	1788.0	0.403	9411.49	0.292	6833.75	0.305	7081.83	23327.07	100	0.187	0.0006918480
<69>	0.375	3805.0	0.035	355.0	0.039	396.0	0.551	5593.0	10149.0	1546.0	0.452	11983.79	0.253	6747.78	0.295	7911.33	26642.9	100	0.374	0.0018755300
<71>	0.381	3050.0	0.135	1080.0	0.132	1056.0	0.353	2829.0	8015.0	3680.0	0.446	13243.06	0.27	7972.05	0.283	8417.65	29632.76	100	0.38	0.0017562000
<36>	0.657	5700.0	0.044	379.0	0.045	392.0	0.254	2204.0	8675.0	3020.0	0.593	23964.93	0.204	8282.44	0.203	8268.23	40515.6	100	0.657	0.0061233500
<72>	0.222	1712.0	0.053	412.0	0.075	576.0	0.651	5027.0	7727.0	3968.0	0.389	12806.13	0.312	10394.46	0.299	9962.97	33163.56	100	0.222	0.0011718700
<73>	0.407	3053.0	0.197	1478.0	0.218	1636.0	0.179	1343.0	7510.0	4185.0	0.386	9554.68	0.285	7085.88	0.329	8166.95	24807.51	100	0.407	0.0013413200
<40>	0.704	4770.0	0.043	293.0	0.048	328.0	0.205	1386.0	6777.0	4918.0	0.593	19046.99	0.192	6141.97	0.215	6858.2	32047.16	100	0.694	0.0060181800
