"node","clade","node.type","branch.length","label","astral","gcf","scf"
56,"Melasmothrix_naso_Z21808","tip",0.00820755,"Melasmothrix_naso_Z21808",NA,NA,NA
57,"Tateomys_macrocercus_Z21834","tip",0.00968369,"Tateomys_macrocercus_Z21834",NA,NA,NA
58,"Gracilimus_radix_Z08508","tip",0.0090763,"Gracilimus_radix_Z08508",NA,NA,NA
59,"Waiomys_mamasae_Z20624","tip",0.00872866,"Waiomys_mamasae_Z20624",NA,NA,NA
60,"Sommeromys_macrorhinos_Z21740","tip",0.0164374,"Sommeromys_macrorhinos_Z21740",NA,NA,NA
61,"Hyorhinomys_stuempkei_JAE4661","tip",0.0159402,"Hyorhinomys_stuempkei_JAE4661",NA,NA,NA
62,"Maxomys_surifer_JAE3632","tip",0.0202665,"Maxomys_surifer_JAE3632",NA,NA,NA
63,"Maxomys_musschenbroekii_sample1","tip",0.020408,"Maxomys_musschenbroekii_sample1",NA,NA,NA
64,"Crunomys_melanius_KU168558","tip",0.00617075,"Crunomys_melanius_KU168558",NA,NA,NA
65,"Crunomys_celebensis_Z21894","tip",0.00751685,"Crunomys_celebensis_Z21894",NA,NA,NA
66,"Zyzomys_pedunculatus_Z34925","tip",0.00790414,"Zyzomys_pedunculatus_Z34925",NA,NA,NA
67,"Zyzomys_woodwardi_WAMM21724","tip",0.00998445,"Zyzomys_woodwardi_WAMM21724",NA,NA,NA
68,"Zyzomys_palatalis_ABTC30744","tip",0.00653035,"Zyzomys_palatalis_ABTC30744",NA,NA,NA
69,"Zyzomys_argurus_ABTC61630","tip",0.00548362,"Zyzomys_argurus_ABTC61630",NA,NA,NA
70,"Zyzomys_maini_ABTC07900","tip",0.00750918,"Zyzomys_maini_ABTC07900",NA,NA,NA
71,"Pseudomys_oralis_RAT7","tip",0.00855922,"Pseudomys_oralis_RAT7",NA,NA,NA
72,"Pseudomys_shortridgei_Z25113","tip",0.00570225,"Pseudomys_shortridgei_Z25113",NA,NA,NA
73,"Pseudomys_desertor_ABTC41464","tip",0.00373508,"Pseudomys_desertor_ABTC41464",NA,NA,NA
74,"Pseudomys_nanus_U1448","tip",0.00460116,"Pseudomys_nanus_U1448",NA,NA,NA
75,"Pseudomys_gracilicaudatus_ABTC08163","tip",0.00531498,"Pseudomys_gracilicaudatus_ABTC08163",NA,NA,NA
76,"Pseudomys_higginsi_UC1421","tip",0.00744657,"Pseudomys_higginsi_UC1421",NA,NA,NA
77,"Pseudomys_bolami_ABTC107389","tip",0.0053946,"Pseudomys_bolami_ABTC107389",NA,NA,NA
