# sources: Supplemental_Appendix_II.csv; murine_repro_pheno_data.csv; Murinae Locomotory Checklist - Murinae Locomotory Checklist.csv
species,sample,Locomotor_State,Adult_Mass(g),Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,RTM (%),Head length (um),Head width (um),Head area (um�),Apical hook length (um),Apical hook angle (�),Ventral process length (um),Ventral process angle (�),Midpiece length (um),Principal and end piece length (um),Tail length (um),# hooks/ventral processes,Geographic Region
Dasymys_montanus,Dasymys_montanus_FMNH144389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Dasymys_incomtus,Dasymys_incomtus_LSUMZ37702,Terrestrial,131.525,299.1,154.3,144.8,33.8,0.484119024,0.938431627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Rhabdomys_pumilio,Rhabdomys_pumilio_MNHN1995065,General,39.97666667,231,115.8,115.2,24,0.498701299,0.994818653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mylomys_dybowskii,Mylomys_dybowskii_MNHN1997072,Terrestrial,110.48,338.2,198.4,139.8,34.6,0.413364873,0.704637097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Pelomys_isseli,Pelomys_isseli_FMNH137886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Pelomys_minor,Pelomys_minor_FMNH219213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Lemniscomys_striatus,Lemniscomys_striatus_TCD4711,Terrestrial,42.225,247.1,114.3,132.8,27.1,0.537434237,1.161854768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Arvicanthus_niloticus,Arvicanthus_niloticus_MNHN1999201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arvicanthus_neumanni,Arvicanthus_neumanni_FMNH158037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malacomys_longipes,Malacomys_longipes_TCD4253,Amphibious,96.27,334.4,156.7,177.7,39.7,0.531399522,1.13401404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Apodemus_sylvaticus,Apodemus_sylvaticus_SMG3823,General,23.33333333,188.7,96.5,92.2,22,0.488606253,0.955440415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa;Europe;parts of central and southwestern Asia;Himalayas;northwestern Africa;British Isles and many nearby islands;Iceland
Praomys_jacksoni,Praomys_jacksoni_REC31,General,39.905,262.5,120,142.5,22.3,0.542857143,1.1875,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Praomys_degraaffi,Praomys_degraaffi_TCD4312,Terrestrial,39.1,246,110.4,135.6,25.8,0.551219512,1.22826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mastomys_natalensis,Mastomys_natalensis_T4162,Terrestrial,90.425,216,108,108,22.3,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Myomyscus_verreauxii,Myomyscus_verreauxii_MNHN1999102,Terrestrial,42.5,249,106,143,24,0.574297189,1.349056604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Zelotomys_woosnami,Zelotomys_woosnami_TTU-M115260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Colomys_goslingi,Colomys_goslingi_TCD4175,Amphibious,61.5,282.4,122.4,160,37.9,0.566572238,1.307189542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Heimyscus_fumosus,Heimyscus_fumosus_FMNH167810,Terrestrial,15.75,181.3,76.8,104.5,17.5,0.576392719,1.360677083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Hylomyscus_stella,Hylomyscus_stella_LSUMZ37742,General,19.395,222,91.5,130.5,18,0.587837838,1.426229508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Hylomyscus_vulcanorum,Hylomyscus_vulcanorum_TCD4382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mus_pahari,Mus_pahari_10460X1,Terrestrial,23.6,175,90,85,20.3,0.485714286,0.944444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand;China
Mus_minutoides,Mus_minutoides_10460X2,Terrestrial,6.876666667,95.8,54.8,41,12.5,0.427974948,0.748175182,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mus_musculoides,Mus_musculoides_LSUMZ37820,Terrestrial,9.876666667,160.9,83.7,77.2,18,0.479801119,0.922341697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mus_platythrix,Mus_platythrix_10460X13,Terrestrial,29.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India
Mus_caroli,Mus_caroli_10460X9,Terrestrial,14.30333333,154,76,78,18,0.506493506,1.026315789,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand;China
Mus_cookii,Mus_cookii_10460X3,Terrestrial,21.6,174.7,89.7,85,19,0.486548369,0.947603122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand;China
Mus_cervicolor,Mus_cervicolor_10460X10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand;China;Vietnam
Mus_spretus,Mus_spretus_10460X4,Terrestrial,15.61,201.8,139.7,62.1,16,0.307730426,0.44452398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Mus_spicilegus,Mus_spicilegus_10460X11,Terrestrial,16.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean region;steppe country from Austria to western Iran
Mus_macedonicus,Mus_macedonicus_10460X12,Terrestrial,16.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurasia
Mus_musculus-castaneus,Mus_musculus-castaneus_10460X7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus_musculus-musculus,Mus_musculus-musculus_10460X14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus_musculus-reference,Mus_musculus-reference_10460X5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus_musculus-domesticus,Mus_musculus-domesticus_10460X15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus_musculus,mm10,General,17.05,161.5,81.4,80.1,17.8,0.495975232,0.984029484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa;Australia;Philippines;Thailand;Vietnam
