# sources: Supplemental_Appendix_II.csv; murine_repro_pheno_data.csv; Murinae Locomotory Checklist - Murinae Locomotory Checklist.csv
species,sample,Locomotor_State,Adult_Mass(g),Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,RTM (%),Head length (um),Head width (um),Head area (um�),Apical hook length (um),Apical hook angle (�),Ventral process length (um),Ventral process angle (�),Midpiece length (um),Principal and end piece length (um),Tail length (um),# hooks/ventral processes,Geographic Region
Haeromys_minahassae,Haeromys_minahassae_JAE4996,Arboreal,14.7,182,72,110,20,0.604395604,1.527777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sulawesi
Apomys_lubangensis,Apomys_lubangensis_JAE169,Terrestrial,110,291,151,140,40,0.481099656,0.927152318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lubang;Philippines
Archboldomys_luzonensis,Archboldomys_luzonensis_EAR1826,Terrestrial,36.22,178.5,89.3,70,27.5,0.392156863,0.78387458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Rhynchomys_isarogensis,Rhynchomys_isarogensis_JAE2195,Terrestrial,122.395,287.5,187,105,37,0.365217391,0.561497326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Chrotomys_whiteheadi,Chrotomys_whiteheadi_KU168311,Terrestrial,149.74,282,167,115,38,0.407801418,0.688622754,1.43 (0.76-2.24),9.1+-0.2,2.3+-0.4,NA,4.0+-0.2,NA,0,NA,NA,NA,135+-5,NA,Philippines
Chrotomys_mindorensis,Chrotomys_mindorensis_JAE520,Terrestrial,163.74,284.5,173.5,111,38,0.390158172,0.639769452,NA,8.6+-0.1,2.2+-0.2,NA,3.5+-0.4,NA,0,NA,41+-2,NA,141+-5,NA,Philippines;Mindoro
Anisomys_imitator,Anisomys_imitator_ABTC45107,Arboreal,502.25,585.8,264.6,321.2,61.1,0.548310003,1.213907785,0.8,8,4.1,NA,7.4,321,0,NA,26,117,NA,NA,New Guinea
Lorentzimys_nouhuysi,Lorentzimys_nouhuysi_ABTC-46314,Arboreal,14.97,186.6,74.2,112.4,18.6,0.602357985,1.514824798,4.3,6.2,1.9,NA,6.9,308,0,NA,34,101,NA,NA,New Guinea
Macruromys_major,Macruromys_major_ABTC43909,Terrestrial,353.625,568.3,240.8,327.5,52.7,0.576280134,1.360049834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea
Chiruromys_vates,Chiruromys_vates_ABTC43096,Arboreal,45.73,272.5,110,162.5,24.3,0.596330275,1.477272727,3.3,8.3,1.7,NA,7,337,5.9,336,55,102,NA,NA,New Guinea
Hyomys_goliath,Hyomys_goliath_ABTC42697,General,844.62,636.5,324.5,312,59.4,0.490180676,0.961479199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Guinea 
Pogonomys_macrourus,Pogonomys_macrourus_ABTC43144,General,47.19,277.5,120.5,157,20.9,0.565765766,1.302904564,4.8,5.3,2,NA,4.6,318,3.1,316,28,83,NA,NA,New Guinea;Japen;New Britain
