Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Apomys_lubangensis,Terrestrial,110,291,151,140,40,0.481099656,0.927152318,Heaney et al 2014,,,,,,,,,,,
Apomys_magnus,Terrestrial,110,288.5,145,143.5,39,0.497400347,0.989655172,Heaney et al 2016,,,,,,,,,,,
Apomys_microdon,Arboreal,35.49,241.5,107,134.5,27,0.556935818,1.257009346,Heaney et al 2016,,,,,,,,,,,
Apomys_minganensis,Terrestrial,79,262.5,135.5,127,33,0.483809524,0.937269373,Heaney et al 2016,,,,,,,,,,,
Apomys_musculus,Arboreal,20.6,197.5,88.5,109,22.5,0.551898734,1.231638418,Heaney et al 2016,,,,,,,,,,,
Apomys_sacobianus,General,63.44,296,153.5,142.5,37.5,0.481418919,0.928338762,"Heaney et al 2016, Nowak 1991",,,,,,,,,,,
Apomys_sierrae,General,92,277,141,136,36.5,0.490974729,0.964539007,Heaney et al 2016,,,,,,,,,,,
Apomys_zambalensis,General,99.5,302.5,162,140.5,37.5,0.46446281,0.867283951,Heaney et al 2016,,,,,,,,,,,
Archboldomys_luzonensis,Terrestrial,36.22,178.5,89.3,70,27.5,0.392156863,0.78387458,"Heaney et al 2016,  Nowak 1991",,,,,,,,,,,
Archboldomys_maximus,Terrestrial,47.5,216,117,99,31,0.458333333,0.846153846,Heaney et al 2016,,,,,,,,,,,
Arvicanthis_abyssinicus,Terrestrial,92.87,250.9,140.5,110.4,26.4,0.440015943,0.785765125,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_ansorgei,Terrestrial,113.9,285.6,151,134.6,33,0.471288515,0.891390728,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_blicki,Terrestrial,128,261,161,100,30.8,0.383141762,0.621118012,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_nairobae,Terrestrial,91,239,138,101,26,0.422594142,0.731884058,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_neumanni,Terrestrial,85,246.5,146,100.5,27.5,0.407707911,0.688356164,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_niloticus,General,101.95,289.3,158.8,130.5,31,0.451088835,0.821788413,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_rufinus,Terrestrial,103.3,282,143.8,138.2,32.7,0.490070922,0.961057024,Kingdon et al 2013,,,,,,,,,,,
Baiyankamys_habbema,Amphibious,NA,317,147,170,36,0.536277603,1.156462585,Helgen 2005,,,,,,,,,,,
Bandicota_bengalensis,Amphibious,235.645,346.5,195,151.5,34.8,0.437229437,0.776923077,"Nowak 1991,  Francis & Barrett 2008",,,,,,,,,,,
Bandicota_indica,Terrestrial,415.03,520,276,244,56,0.469230769,0.884057971,"Lekagul & McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Bandicota_savilei,Terrestrial,229.815,355,196,159,37,0.447887324,0.81122449,"Lekagul & McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Batomys_dentatus,General,196,380,195,185,36,0.486842105,0.948717949,"Heany et al 2016, Wilman et al 2014",,,,,,,,,,,
Batomys_granti,General,174.415,348.5,199.5,149,36.3,0.427546628,0.746867168,Heany et al 2016,,,,,,,,,,,
Batomys_hamiguitan,Terrestrial,173,302,183,119,35,0.394039735,0.650273224,Balete et al 2008,,,,,,,,,,,
Batomys_russatus,Terrestrial,115,256,146,110,30,0.4296875,0.753424658,Musser et al 1998,,,,,,,,,,,
Batomys_salomonseni,Terrestrial,185.76,315,175,140,37,0.444444444,0.8,Musser et al 1998,,,,,,,,,,,
Batomys_uragon,Terrestrial,335,335.5,186,149.5,37,0.445603577,0.803763441,Heaney et al 2016,,,,,,,,,,,
Berylmys_berdmorei,Terrestrial,235,373,205,168,38,0.450402145,0.819512195,"Lekagul & McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Berylmys_bowersi,General,382.69,544.6,266.3,278.3,58.8,0.51101726,1.04506196,"Lekagul & McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Berylmys_mackenziei,Terrestrial,265,454,210,244,49,0.537444934,1.161904762,"Lekagul & McNeely 1977, Nowak 1991, Musser and Newcomb 1983",,,,,,,,,,,
Berylmys_manipulus,Terrestrial,116,323.5,160,163.5,55.5,0.505409583,1.021875,"Nowak 1991, Francis & Barrett 2008, Wilman et al 2014",,,,,,,,,,,
Bullimus_bagobus,Terrestrial,423.09,462,278.3,183.7,53.5,0.397619048,0.660079051,Nowak 1991,,,,,,,,,,,
Bullimus_gamay,Terrestrial,367.8,392.5,234.5,158,51.6,0.40254777,0.673773987,Wilman et al 2014,,,,,,,,,,,
Bullimus_luzonicus,Terrestrial,447.5,466.5,254,212.5,55.5,0.455519829,0.836614173,Heany et al 2016,,,,,,,,,,,
Bunomys_andrewsi,Terrestrial,135,304.1,161.7,142.4,37.75,0.468267017,0.880643166,"Musser, 2014",,,,,,,,,,,
Bunomys_chrysocomus,Terrestrial,106.045,301,160,141,34.8,0.468438538,0.88125,"Musser, 2014",,,,,,,,,,,
Bunomys_coelestis,Terrestrial,120,310.9,159.3,151.6,36.9,0.487616597,0.951663528,"Musser, 2014, Wilman et al 2014",,,,,,,,,,,
Bunomys_fratrorum,Terrestrial,152.655,341.4,170.4,171,40,0.500878735,1.003521127,"Musser, 2014",,,,,,,,,,,
Bunomys_karokophilus,Terrestrial,133.2,338.2,173.8,164.4,39.3,0.486102898,0.945914845,"Musser, 2014",,,,,,,,,,,
