"node","clade","node.type","branch.length","label","astral","gcf","scf"
60,"Taeromys_taerae_LSUMZ39224","tip",NA,"Taeromys_taerae_LSUMZ39224",NA,NA,NA
61,"Genus_sp-nov_NMVZ21816","tip",NA,"Genus_sp-nov_NMVZ21816",NA,NA,NA
62,"Taeromys_celebensis_NMVZ20637","tip",NA,"Taeromys_celebensis_NMVZ20637",NA,NA,NA
63,"Paruromys_dominator_JAE4870","tip",NA,"Paruromys_dominator_JAE4870",NA,NA,NA
64,"Eropeplus_canus_NMVZ21733","tip",NA,"Eropeplus_canus_NMVZ21733",NA,NA,NA
65,"Lenomys_meyeri_LSUMZ39079","tip",NA,"Lenomys_meyeri_LSUMZ39079",NA,NA,NA
66,"Chiropodomys_gliroides_Z25153","tip",NA,"Chiropodomys_gliroides_Z25153",NA,NA,NA
67,"Haeromys_minahassae_JAE4996","tip",NA,"Haeromys_minahassae_JAE4996",NA,NA,NA
68,"Apomys_lubangensis_JAE169","tip",NA,"Apomys_lubangensis_JAE169",NA,NA,NA
69,"Archboldomys_luzonensis_EAR1826","tip",NA,"Archboldomys_luzonensis_EAR1826",NA,NA,NA
70,"Rhynchomys_isarogensis_JAE2195","tip",NA,"Rhynchomys_isarogensis_JAE2195",NA,NA,NA
71,"Chrotomys_whiteheadi_KU168311","tip",NA,"Chrotomys_whiteheadi_KU168311",NA,NA,NA
72,"Chrotomys_mindorensis_JAE520","tip",NA,"Chrotomys_mindorensis_JAE520",NA,NA,NA
73,"Anisomys_imitator_ABTC45107","tip",NA,"Anisomys_imitator_ABTC45107",NA,NA,NA
74,"Lorentzimys_nouhuysi_ABTC-46314","tip",NA,"Lorentzimys_nouhuysi_ABTC-46314",NA,NA,NA
75,"Macruromys_major_ABTC43909","tip",NA,"Macruromys_major_ABTC43909",NA,NA,NA
76,"Chiruromys_vates_ABTC43096","tip",NA,"Chiruromys_vates_ABTC43096",NA,NA,NA
77,"Hyomys_goliath_ABTC42697","tip",NA,"Hyomys_goliath_ABTC42697",NA,NA,NA
78,"Pogonomys_macrourus_ABTC43144","tip",NA,"Pogonomys_macrourus_ABTC43144",NA,NA,NA
79,"Coccymys_ruemmleri_ABTC49489","tip",NA,"Coccymys_ruemmleri_ABTC49489",NA,NA,NA
80,"Mammelomys_lanosus_ABTC47208","tip",NA,"Mammelomys_lanosus_ABTC47208",NA,NA,NA
81,"Xenuromys_barbatus_ABTC129204","tip",NA,"Xenuromys_barbatus_ABTC129204",NA,NA,NA
82,"Mallomys_rothschildi_ABTC47402","tip",NA,"Mallomys_rothschildi_ABTC47402",NA,NA,NA
83,"Abeomelomys_sevia_KUM161018","tip",NA,"Abeomelomys_sevia_KUM161018",NA,NA,NA
84,"Pogonomelomys_mayeri_AMM21849","tip",NA,"Pogonomelomys_mayeri_AMM21849",NA,NA,NA
85,"Crossomys_moncktoni_ABTC46614","tip",NA,"Crossomys_moncktoni_ABTC46614",NA,NA,NA
86,"Parahydromys_asper_ABTC45798","tip",NA,"Parahydromys_asper_ABTC45798",NA,NA,NA
87,"Hydromys_sp-nov_YS391","tip",NA,"Hydromys_sp-nov_YS391",NA,NA,NA
88,"Hydromys_chrysogaster_Z5248","tip",NA,"Hydromys_chrysogaster_Z5248",NA,NA,NA
89,"Xeromys_myoides_ABTC30709","tip",NA,"Xeromys_myoides_ABTC30709",NA,NA,NA
90,"Microhydromys_richardsoni_ANWCM35851","tip",NA,"Microhydromys_richardsoni_ANWCM35851",NA,NA,NA
91,"Pseudohydromys_pumehanae_ABTC43920","tip",NA,"Pseudohydromys_pumehanae_ABTC43920",NA,NA,NA
92,"Paraleptomys_wilhelmina_H126-ABTC133716","tip",NA,"Paraleptomys_wilhelmina_H126-ABTC133716",NA,NA,NA
93,"Mirzamys_louiseae_ABTC133754","tip",NA,"Mirzamys_louiseae_ABTC133754",NA,NA,NA
94,"Leptomys_elegans_ABTC45741","tip",NA,"Leptomys_elegans_ABTC45741",NA,NA,NA
95,"Solomys_salebrosus_ABTC64864","tip",NA,"Solomys_salebrosus_ABTC64864",NA,NA,NA
96,"Melomys_rufescens_ABTC44798","tip",NA,"Melomys_rufescens_ABTC44798",NA,NA,NA
97,"Uromys_sp-nov_YS380","tip",NA,"Uromys_sp-nov_YS380",NA,NA,NA
98,"Uromys_caudimaculatus_DT10Uc01","tip",NA,"Uromys_caudimaculatus_DT10Uc01",NA,NA,NA
99,"Leporillus_conditor_ABTC13335","tip",NA,"Leporillus_conditor_ABTC13335",NA,NA,NA
100,"Leporillus_apicalis_C90","tip",NA,"Leporillus_apicalis_C90",NA,NA,NA
101,"Conilurus_albipes_NMV-c7585","tip",NA,"Conilurus_albipes_NMV-c7585",NA,NA,NA
102,"Conilurus_penicillatus_M14056","tip",NA,"Conilurus_penicillatus_M14056",NA,NA,NA
103,"Mesembriomys_macrurus_ABTC7337","tip",NA,"Mesembriomys_macrurus_ABTC7337",NA,NA,NA
104,"Mesembriomys_gouldii_ABTC7449","tip",NA,"Mesembriomys_gouldii_ABTC7449",NA,NA,NA
105,"Zyzomys_pedunculatus_Z34925","tip",NA,"Zyzomys_pedunculatus_Z34925",NA,NA,NA
106,"Zyzomys_woodwardi_WAMM21724","tip",NA,"Zyzomys_woodwardi_WAMM21724",NA,NA,NA
107,"Zyzomys_maini_ABTC07900","tip",NA,"Zyzomys_maini_ABTC07900",NA,NA,NA
108,"Zyzomys_palatalis_ABTC30744","tip",NA,"Zyzomys_palatalis_ABTC30744",NA,NA,NA
109,"Zyzomys_argurus_ABTC61630","tip",NA,"Zyzomys_argurus_ABTC61630",NA,NA,NA
110,"Leggadina_lakedownensis_WAMM21623","tip",NA,"Leggadina_lakedownensis_WAMM21623",NA,NA,NA
111,"Leggadina_forresti_WAMM62323","tip",NA,"Leggadina_forresti_WAMM62323",NA,NA,NA
112,"Pseudomys_calabyi_U4324","tip",NA,"Pseudomys_calabyi_U4324",NA,NA,NA
113,"Pseudomys_chapmani_WAMM29440","tip",NA,"Pseudomys_chapmani_WAMM29440",NA,NA,NA
114,"Pseudomys_johnsoni_ABTC08053","tip",NA,"Pseudomys_johnsoni_ABTC08053",NA,NA,NA
115,"Pseudomys_patrius_JM10865","tip",NA,"Pseudomys_patrius_JM10865",NA,NA,NA
