generation,rank_1,rank_2,swapAccepted
354000,3,4,1
355000,2,3,1
356000,1,2,1
357000,3,4,1
358000,3,4,1
359000,1,3,1
360000,1,2,1
361000,1,4,1
362000,1,4,1
363000,1,3,1
364000,1,2,1
365000,1,3,1
366000,3,4,1
367000,2,3,1
368000,2,3,1
369000,1,4,1
370000,1,4,1
371000,1,4,1
372000,1,4,1
373000,1,4,1
374000,1,3,1
375000,1,2,1
376000,1,4,1
377000,3,4,1
378000,2,3,1
379000,1,4,0
380000,2,3,1
381000,1,4,1
382000,3,4,1
383000,1,4,1
384000,1,2,1
385000,3,4,1
386000,1,3,1
387000,2,4,1
388000,2,3,1
389000,2,4,1
390000,2,3,1
391000,3,4,1
392000,2,3,1
393000,1,2,1
394000,3,4,1
395000,1,3,1
396000,2,3,1
397000,1,4,1
398000,1,4,1
399000,1,3,1
400000,1,3,1
401000,1,3,1
402000,1,3,1
403000,2,3,1
404000,1,2,1
405000,1,3,1
406000,1,3,1
407000,1,2,1
408000,2,4,1
409000,2,4,1
410000,1,2,1
411000,1,2,1
412000,2,3,1
413000,1,4,0
414000,1,4,1
415000,1,3,1
416000,3,4,1
417000,1,4,1
418000,1,2,1
419000,2,4,1
420000,1,2,1
421000,2,4,1
422000,1,2,1
423000,1,2,1
424000,3,4,1
425000,1,2,1
426000,2,3,1
427000,1,2,1
428000,1,4,1
429000,1,2,1
430000,2,3,1
431000,1,2,1
432000,1,2,1
433000,2,3,1
434000,3,4,1
435000,2,4,1
436000,1,2,1
437000,2,3,1
438000,2,4,1
439000,1,2,1
440000,2,4,1
441000,1,2,1
442000,2,4,1
443000,1,3,1
444000,3,4,1
445000,2,3,1
446000,1,3,1
447000,1,3,1
448000,1,4,1
449000,3,4,1
450000,1,4,1
451000,2,3,1
452000,1,2,1
453000,2,3,1
454000,3,4,1
455000,1,4,1
456000,2,3,1
457000,2,4,1
458000,1,4,1
459000,1,4,1
460000,2,4,1
461000,3,4,1
462000,2,3,1
463000,1,2,1
464000,2,4,1
465000,1,2,1
466000,3,4,0
467000,2,3,1
468000,1,3,1
469000,2,4,1
470000,1,3,1
471000,1,4,1
472000,3,4,1
473000,3,4,1
474000,1,2,1
475000,1,2,1
476000,3,4,1
477000,1,3,1
478000,2,3,1
479000,1,3,1
480000,1,4,1
481000,1,2,1
482000,1,4,1
483000,1,4,1
484000,3,4,1
485000,1,4,0
486000,1,3,1
487000,1,4,1
488000,2,4,1
489000,1,3,1
490000,1,2,1
491000,3,4,1
492000,3,4,1
493000,1,4,1
494000,2,3,1
495000,2,3,1
496000,3,4,1
497000,1,3,1
498000,1,3,1
499000,3,4,1
500000,1,2,1
501000,1,3,1
502000,1,4,1
503000,1,2,1
504000,1,2,1
505000,2,3,1
506000,2,4,1
507000,2,3,1
508000,1,3,1
509000,1,2,1
510000,3,4,1
511000,1,2,1
512000,1,2,1
513000,1,4,1
514000,1,2,1
515000,1,3,1
516000,1,4,1
517000,1,2,0
518000,3,4,1
519000,3,4,1
520000,1,4,1
521000,1,2,1
522000,1,2,1
523000,3,4,1
524000,2,3,1
525000,2,4,1
526000,1,3,1
527000,1,4,1
528000,1,4,1
529000,1,4,1
530000,2,4,1
531000,1,2,1
532000,2,4,1
533000,1,4,1
534000,2,4,1
535000,1,3,1
536000,1,4,1
537000,1,3,1
538000,2,4,0
539000,1,3,1
540000,3,4,1
541000,1,2,1
542000,1,2,1
543000,2,3,1
544000,1,2,1
545000,1,2,1
546000,1,2,1
547000,2,3,1
548000,2,3,1
549000,1,3,1
550000,1,3,1
551000,2,3,1
552000,1,4,0
553000,1,3,1
554000,2,4,1
555000,1,3,1
556000,1,3,1
557000,1,4,1
558000,3,4,1
559000,3,4,1
560000,1,2,1
561000,1,4,1
562000,2,3,1
563000,1,2,1
564000,1,3,1
565000,2,4,1
566000,1,2,1
567000,1,4,1
568000,3,4,1
569000,1,2,1
570000,3,4,1
571000,1,2,1
572000,2,3,1
573000,1,4,1
574000,3,4,1
575000,2,4,1
576000,1,3,1
577000,1,2,1
578000,3,4,1
579000,1,2,0
580000,3,4,1
581000,3,4,1
582000,1,2,0
583000,1,2,1
584000,1,3,1
585000,1,3,1
586000,1,3,1
587000,2,3,1
588000,1,4,1
589000,1,2,1
590000,2,3,1
591000,1,3,1
592000,1,4,1
593000,2,3,1
594000,2,3,1
595000,1,3,1
596000,2,4,1
597000,1,2,1
598000,1,2,1
599000,3,4,1
600000,1,2,1
601000,1,2,1
602000,3,4,1
603000,3,4,1
604000,1,2,1
605000,2,3,1
606000,1,3,1
607000,3,4,1
608000,1,4,1
609000,1,4,0
610000,3,4,1
611000,1,4,1
612000,1,2,1
613000,2,4,1
614000,1,3,1
615000,3,4,1
616000,3,4,0
617000,3,4,1
618000,2,3,1
619000,1,3,1
620000,1,3,1
621000,2,4,1
622000,2,3,0
623000,1,4,1
624000,2,3,1
625000,1,3,1
626000,1,2,1
627000,1,3,1
628000,1,4,1
629000,2,4,1
630000,2,4,1
631000,1,3,1
632000,2,4,0
633000,1,4,1
634000,1,3,1
635000,3,4,1
636000,1,2,1
637000,1,2,1
638000,1,2,1
639000,1,2,1
640000,1,4,1
641000,2,3,1
642000,3,4,1
643000,2,4,1
644000,2,4,1
645000,1,4,1
646000,1,3,1
647000,1,3,0
648000,2,3,1
649000,1,2,1
650000,1,3,1
651000,3,4,1
652000,2,3,1
653000,1,4,1
654000,1,4,1
655000,3,4,1
656000,3,4,1
657000,1,2,1
658000,2,4,1
659000,2,4,1
660000,2,3,1
661000,1,3,1
662000,1,3,1
663000,3,4,1
664000,1,4,1
665000,1,4,1
666000,1,2,1
667000,3,4,1
668000,2,4,1
669000,2,4,1
670000,1,3,1
671000,2,3,1
672000,1,2,1
673000,2,3,1
674000,2,3,1
675000,3,4,1
676000,1,4,0
677000,1,3,1
678000,1,2,1
679000,2,3,1
680000,1,2,1
681000,1,3,1
682000,1,3,1
683000,1,3,0
684000,1,3,1
685000,1,2,1
686000,1,2,1
687000,1,2,1
688000,1,4,1
689000,1,4,1
690000,2,4,1
691000,3,4,1
692000,1,3,1
693000,1,2,1
694000,2,4,0
695000,2,4,0
696000,1,2,1
697000,2,3,1
698000,1,2,1
699000,2,4,0
700000,1,4,1
701000,1,3,1
702000,1,2,1
703000,3,4,1
704000,1,3,1
705000,1,2,1
706000,2,3,1
707000,1,4,0
708000,1,4,1
709000,3,4,1
710000,3,4,1
711000,1,3,1
712000,3,4,1
713000,3,4,1
714000,1,4,1
715000,3,4,1
716000,1,4,1
717000,3,4,1
718000,1,2,1
719000,1,2,1
720000,2,3,1
721000,3,4,1
722000,2,3,1
723000,2,4,1
724000,2,4,1
725000,1,3,1
726000,1,3,1
727000,2,4,1
728000,1,3,1
729000,2,3,1
730000,2,4,1
731000,1,4,1
732000,1,3,1
733000,1,4,1
734000,1,3,1
735000,1,3,1
736000,1,3,1
737000,1,3,1
738000,1,4,0
739000,1,2,1
740000,1,2,1
741000,2,3,1
742000,2,3,1
743000,2,4,1
744000,3,4,1
745000,2,4,1
746000,1,4,1
747000,3,4,1
748000,1,3,1
749000,2,3,1
750000,1,4,1
751000,1,4,1
752000,1,4,1
753000,1,4,1
754000,1,2,1
755000,1,4,1
756000,1,3,1
757000,1,3,1
758000,2,4,1
759000,1,2,1
760000,1,3,1
761000,1,2,1
762000,1,3,0
763000,3,4,1
764000,1,2,1
765000,3,4,1
766000,2,4,1
767000,3,4,1
768000,3,4,1
769000,1,2,1
770000,1,4,1
771000,1,4,1
772000,1,4,1
773000,1,3,1
774000,1,2,1
775000,2,3,1
776000,2,3,1
777000,2,4,1
778000,2,3,1
779000,2,4,1
780000,1,4,1
781000,1,2,1
782000,2,4,1
783000,2,4,1
784000,2,4,1
785000,3,4,1
786000,1,3,1
787000,3,4,1
788000,1,4,1
789000,2,4,1
790000,2,3,1
791000,1,4,1
792000,3,4,1
793000,2,3,1
794000,3,4,1
795000,2,3,0
796000,1,4,1
797000,2,4,1
798000,2,4,1
799000,3,4,1
800000,1,3,1
801000,2,3,1
802000,3,4,1
803000,1,4,1
804000,2,3,1
805000,2,4,1
806000,1,2,1
807000,1,4,0
808000,2,4,0
809000,3,4,1
810000,2,4,1
811000,1,2,1
812000,1,3,0
813000,1,2,1
814000,2,3,1
815000,1,3,1
816000,2,4,1
817000,2,3,1
818000,1,4,1
819000,1,3,1
820000,3,4,1
821000,2,3,1
822000,1,4,1
823000,1,3,1
824000,2,3,1
825000,2,3,1
826000,1,2,1
827000,1,3,1
828000,1,2,1
829000,2,4,1
830000,1,3,1
831000,1,2,1
832000,1,3,1
833000,1,4,1
834000,1,2,1
835000,2,4,1
836000,1,4,1
837000,1,2,1
838000,2,3,1
839000,2,4,1
840000,1,3,1
841000,1,3,1
842000,1,2,1
843000,1,4,1
844000,1,3,1
845000,2,3,1
846000,2,3,1
847000,1,2,0
848000,1,4,1
849000,1,2,1
850000,2,3,1
851000,3,4,1
852000,1,4,1
853000,1,4,1
854000,1,2,1
855000,1,2,1
856000,1,4,1
857000,1,3,1
858000,2,4,1
859000,2,3,1
860000,1,2,1
861000,1,4,1
862000,1,4,1
863000,1,2,1
864000,1,2,1
865000,3,4,1
866000,1,2,1
867000,1,2,1
868000,1,3,1
869000,1,3,1
870000,3,4,1
871000,2,4,1
872000,1,4,1
873000,1,4,1
874000,1,4,1
875000,2,4,1
876000,1,2,1
877000,1,2,1
878000,1,3,1
879000,1,3,1
880000,1,2,1
881000,2,4,1
882000,2,3,1
883000,1,3,1
884000,1,3,1
885000,1,3,1
886000,1,3,1
887000,3,4,1
888000,1,3,1
889000,2,4,1
890000,1,3,1
891000,1,3,1
892000,3,4,1
893000,1,4,1
894000,3,4,1
895000,1,4,1
896000,3,4,1
897000,1,4,1
898000,1,2,1
899000,1,4,1
900000,3,4,1
901000,3,4,1
902000,2,3,1
903000,1,3,1
904000,2,4,1
905000,3,4,1
906000,3,4,1
907000,1,3,1
908000,1,4,1
909000,1,2,1
910000,2,4,1
911000,3,4,1
912000,1,2,0
913000,3,4,1
914000,2,4,1
915000,2,4,1
916000,2,3,1
917000,1,2,1
918000,1,3,1
919000,1,4,1
920000,2,3,1
921000,1,4,1
922000,2,4,1
923000,1,4,1
924000,2,4,1
925000,1,3,1
926000,2,4,1
927000,3,4,1
928000,2,4,1
929000,3,4,1
930000,3,4,1
931000,2,4,1
932000,3,4,1
933000,2,3,1
934000,1,4,1
935000,3,4,1
936000,2,3,1
937000,1,3,1
938000,3,4,1
939000,1,2,1
940000,3,4,1
941000,2,4,1
942000,1,3,0
943000,1,4,1
944000,2,4,1
945000,3,4,1
946000,2,3,1
947000,2,3,1
948000,1,2,1
949000,2,3,0
950000,2,4,1
951000,1,3,1
952000,1,3,0
953000,3,4,1
954000,2,4,0
955000,1,4,0
956000,1,2,1
957000,2,3,1
958000,1,3,1
959000,2,4,1
960000,3,4,1
961000,1,4,1
962000,1,2,1
