Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
AFRICA,Murinae,Murini,Mus,Mus,orangiae,Mus orangiae,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,steini,Paramelomys steini,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,adustus,Rattus adustus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,arfakiensis,Rattus arfakiensis,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,blangorum,Rattus blangorum,,,
ASIA,Murinae,Rattini,Rattus,Rattus,burrus,Rattus burrus,,,
ASIA,Murinae,Rattini,Rattus,Rattus,montanus,Rattus montanus,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,palmarum,Rattus palmarum,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,pococki,Rattus pococki,,Niobe species group,
ASIA,Murinae,Rattini,Rattus,Rattus,ranjiniae,Rattus ranjiniae,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,stoicus,Rattus stoicus,,,
ASIA,Murinae,incertae sedis,incertae sedis,Vandeleuria,nilagirica,Vandeleuria nilagirica,,,
ASIA,Murinae,incertae sedis,incertae sedis,Vandeleuria,nolthenii,Vandeleuria nolthenii,,,
SAHUL,Murinae,Hydromyini,Mallomys,Pogonomelomys,bruijni,Pogonomelomys bruijni,,specimen sequneced is P. mayeri; need to samples type series to include,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,ponticus,Apodemus ponticus,,,
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Crateromys,australis,Crateromys australis,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,awashensis,Mastomys awashensis,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,lukolelae,Praomys lukolelae,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,mutoni,Praomys mutoni,,,
ASIA,Murinae,Murini,Mus,Mus,phillipsi,Mus phillipsi,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,hyrcanicus,Apodemus hyrcanicus,,,
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Batomys,uragon,Batomys uragon,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,shortridgei,Mastomys shortridgei,,,
SUNDA,Murinae,Hydromyini,Chiropodomys,Chiropodomys,major,Chiropodomys major,,,
AFRICA,Murinae,Murini,Mus,Mus,setzeri,Mus setzeri,,,
SUNDA,Murinae,Rattini,Bunomys,Sundamys,infraluteus,Sundamys infraluteus,,,
SUNDA,Murinae,incertae sedis,Pithecheir,Pithecheir,parvus,Pithecheir parvus,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,epimelas,Apodemus epimelas,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,simalurensis,Rattus simalurensis,,,
AFRICA,Murinae,Arvicanthini,Dasymys,Dasymys,foxi,Dasymys foxi,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Chrotomys,gonzalesi,Chrotomys gonzalesi,,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,silindensis,Aethomys silindensis,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,dollmani,Otomys dollmani,,,
PHILIPPINES,Murinae,Rattini,Rattus,Tryphomys,adustus,Tryphomys adustus,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,huberti,Mastomys huberti,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,enganus,Rattus enganus,,,
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Batomys,dentatus,Batomys dentatus,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Lemniscomys,hoogstraali,Lemniscomys hoogstraali,,,
ASIA,Murinae,Rattini,Dacnomys,Niviventer,hinpoon,Niviventer hinpoon,,,
AFRICA,Murinae,Arvicanthini,Dasymys,Dasymys,nudipes,Dasymys nudipes,,,
