# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Colomys-goslingi,134062,723.5439796512062,96999753.0,741,39050,46237692,87.99,38354754,81.04,1821406,1548650,3.27,[13333867.0],25.049556105943097,9.605875552182372,28.881691037210764,9.787775132338892,47718833,90.45,38686222,81.74,1227954,1927994,4.07,[13164975.0],33758566,97.01,27464247,87.05,367283,1352914,4.29,29.102580315261985,26.46002069966151,775213,9900,0.0001020621155602324,776783,46238994,87.99,[13334174.0],25.05058932049272,9.606585685462903,28.882308212428793,9.791200681924638,30596,22692,183,389652,237
Malacomys-longipes,143150,697.1523925951799,99797365.0,709,43054,42995706,88.36,36648976,82.63,1452400,1071375,2.42,[14323495.0],21.25463864022779,8.266945498195009,24.53343454829201,7.9835942589620155,43585413,89.42,36921276,83.24,868526,1843319,4.16,[14050462.0],30409837,96.98,26053108,90.09,225062,1254566,4.34,24.122149066993376,21.8382050901535,824662,10729,0.00010750784852886647,827105,42997103,88.37,[14323807.0],21.255826202378845,8.26772906780157,24.534539965480555,7.98477443313119,25736,20085,159,351964,186
Hylomyscus-vulcanorum,175188,598.7902196497477,104900861.0,636,52647,50624564,87.97,41516584,79.01,3331410,1371970,2.61,[14055887.0],25.779718148600477,9.941049087611333,29.686051206625944,10.23451733489117,51531013,89.41,43542456,82.87,1198896,2241927,4.27,[14041100.0],36674174,96.89,31424003,89.89,329564,1550527,4.44,31.59729534006361,28.788242013888947,1069486,14765,0.0001407519429225657,1070637,50627156,87.97,[14056364.0],25.781371330286465,9.942503198741965,29.68740668200642,10.236813068943738,43815,35460,280,623540,219
Praomys-degraaffi,142544,618.0587818498147,88100571.0,644,42853,44685620,85.63,36478074,76.78,2519104,1713652,3.61,[24012660.0],17.228366641584223,8.219135269270014,19.48060547042838,8.17107362626365,46948443,89.78,39326248,82.77,1157884,1940617,4.08,[23724169.0],33051461,97.02,28025583,89.38,324125,1327556,4.23,18.285429959196605,16.46987867384637,894929,14295,0.00016225774518532918,895555,44689079,85.64,[24013745.0],17.23036455172757,8.222971048655848,19.482313051336295,8.173261237774714,28576,23091,161,431575,223
Grammomys-dryas-LSUMZ37717,149257,701.2509564040547,104666614.0,724,45193,49155088,88.58,41821978,82.75,1747218,1210669,2.40,[14508749.0],24.55932851395118,8.607878217239602,28.541051347222336,8.597349890985612,48391705,87.05,40299838,79.74,954832,2624756,5.19,[14099507.0],34659743,95.99,29008050,87.10,278360,1907230,5.73,29.774720345897492,26.371218614617913,890096,11500,0.00010987266675121448,891122,49156737,88.58,[14509262.0],24.560473819496373,8.60912606789384,28.54196708601052,8.59860507738902,23583,18414,137,327597,156
Lemniscomys-striatus,137462,683.8462120440558,94002868.0,702,42244,34041286,86.44,29029494,81.14,927906,982054,2.74,[9634693.0],19.21800428453866,6.8940541156877,22.280091624369348,7.003664656764732,33469974,84.88,27898168,77.98,614362,2030634,5.68,[9289694.0],23894376,95.55,20026723,86.89,176142,1483673,6.44,21.321983723126145,18.511395437579147,867653,10908,0.00011603901276714238,869255,34042940,86.45,[9634969.0],19.219198142796245,6.8967028608505085,22.28086704609155,7.005738724847974,21644,16929,104,290565,150
Berylmys-bowersi,159125,615.9040377062058,98005730.0,614,49513,69019793,86.56,60859948,82.99,1419406,1168949,1.59,[27358509.0],31.37304161437441,9.641561272434293,36.8032873184412,9.602036585425196,67880124,85.00,57090068,77.85,1382020,3992693,5.44,[26388398.0],50307834,95.72,42776772,87.46,329790,2954797,6.04,37.889271417735245,32.388758046615834,837050,14231,0.0001452057956203173,841721,69024860,86.56,[27359779.0],31.375864071780246,9.647195465466224,36.80510507396227,9.60851991465142,33512,25147,184,439644,281
Crunomys-celebensis,140170,691.8461939073982,96976081.0,704,43948,35206536,87.44,30052156,82.11,1029786,923713,2.52,[8490406.0],20.491195234591892,6.861484855575488,23.890666029050816,6.898179951214722,33940039,84.16,27908136,76.26,714446,2286619,6.25,[8192958.0],24001977,94.93,19829515,85.04,177869,1698424,7.28,23.134682306453794,19.668319151686582,808281,9422,9.71579785741187e-05,808798,35207640,87.44,[8490643.0],20.492049288638533,6.862806097520644,23.891217100569662,6.899799606387995,14394,11586,59,201915,103
Echiothrix-centrosa,130812,643.8289147784607,84220548.0,652,41307,26137312,84.71,24686422,80.31,494700,835922,2.72,[6653001.0],17.14232206534635,5.741456770264932,19.982226948637397,5.801819499728992,26707601,86.44,24075484,78.32,508314,1738011,5.65,[6667616.0],19076386,95.18,17414192,87.22,125927,1278947,6.41,18.18898296724952,15.38523289363523,963827,13592,0.0001613857938801348,965211,26137686,84.71,[6653379.0],17.14275634206364,5.738849962071665,19.983067077132976,5.800241571624076,20222,16481,90,299047,137
Gracilimus-radix,152090,696.9344730094024,105996764.0,708,46450,50776321,88.55,43525212,83.20,1759816,1009473,1.93,[13181387.0],26.40106863093124,8.580003287039121,30.853431410750684,8.55811457324898,48565793,84.56,39860806,76.19,1076162,3196355,6.11,[12728240.0],35012220,95.02,28908824,84.83,260690,2399785,7.04,32.551268418722564,28.016148263602084,823919,8709,8.216288565186763e-05,825616,50778048,88.56,[13181762.0],26.402256012742704,8.58162447027688,30.854207034771214,8.560513299432955,14812,11073,84,178992,125
Leopoldomys-sabanus,142306,691.3157140247073,98378374.0,693,44307,36167620,85.92,31107672,81.42,668954,1042928,2.73,[7807389.0],21.37734212388346,7.756349493543331,24.823525461705717,7.4036374963664136,34684696,82.30,28205546,73.83,735780,2640788,6.91,[7463307.0],24918103,94.34,20379385,83.67,184086,1971072,8.09,25.138386317582576,21.237248102869824,811000,9241,9.393324593878732e-05,812290,36168374,85.92,[7807507.0],21.37810133662121,7.757345010430593,24.823875776825968,7.405835118952228,19379,15145,93,259456,114
Margaretamys-parvus,136834,1016.7119283219083,139120760.0,996,40523,66818656,92.12,61594826,89.08,1212256,940051,1.36,[21972529.0],34.273335205735066,9.498341027731312,40.43922294705268,9.638635190374925,67318079,91.16,57205936,82.73,2905160,2579793,3.73,[21568777.0],47582949,97.28,42559826,90.60,614014,1828054,3.89,52.05671824904582,47.44663304705504,983723,33169,0.00023841876654497862,987368,66824811,92.13,[21973937.0],34.2771463777251,9.512688907609595,40.440709086674325,9.649714158198474,40194,34607,724,477889,466
Melasmothrix-naso,137537,693.3062448650181,95355261.0,699,42160,32375918,86.97,28049634,82.95,561254,796682,2.36,[6944258.0],19.81651301664862,6.5029181164855645,23.1268513757891,6.61245539768204,31858342,85.46,26484792,78.32,634470,1912461,5.66,[6784497.0],22374247,95.55,18746787,86.90,152442,1372252,6.36,22.108077969075715,19.033445842051474,801981,9189,9.636594670953709e-05,804056,32376834,86.98,[6944477.0],19.817356107180522,6.505062777810046,23.127448202460297,6.612888705092143,16075,12609,87,217514,143
Paucidentomys-vermidax,141395,695.3578839421479,98320128.0,707,43754,30146918,86.95,25783576,82.24,701476,781692,2.49,[6103065.0],18.206382757551655,6.194695243495523,21.192875284199467,6.2938647970600625,29430668,84.78,24315630,77.55,536622,1922459,6.13,[5928596.0],20725199,95.01,17165075,85.66,137209,1435069,7.16,20.821799301281356,17.91677123470753,863240,9490,9.652143658722657e-05,863411,30147260,86.95,[6103058.0],18.206915369958264,6.1954003137591,21.193152806247408,6.295030164123784,14284,11361,45,201516,92
Sommeromys-macrorhinos,133144,670.9937511265998,89338792.0,696,40137,30075198,85.61,25384584,79.58,1018114,913846,2.86,[6804363.0],19.34157760602628,6.924315442589212,22.414826271284355,7.109872101743687,30152654,85.69,24990380,78.35,614324,1777458,5.57,[6736970.0],21400113,95.63,17846629,86.64,153825,1298233,6.30,21.177909295645343,18.013597938444548,890291,10265,0.0001148996955320372,890747,30076363,85.61,[6804667.0],19.34262717464574,6.926097210042246,22.415276236302336,7.113458799062584,18349,14084,81,250505,96
Tateomys-macrocercus,125140,655.120648873262,81981798.0,668,38848,23802760,84.18,20499518,79.84,358706,771698,3.01,[5140226.0],16.869324068269755,5.600074816955113,19.685382788314786,5.582944448491856,24486704,86.48,20567680,80.11,434690,1356740,5.28,[5167796.0],17596323,95.91,14888860,88.12,111368,996540,5.90,17.66748604424626,15.014167077037705,787763,11326,0.00013815261773107246,788255,23803632,84.18,[5140404.0],16.87019580623043,5.601666626248834,19.685903755198034,5.58488056200411,19727,16449,90,299805,134
Tateomys-rhinogradoides,141568,713.0634818603074,100946971.0,727,43085,39473178,87.14,34337450,83.48,598936,927641,2.26,[9949661.0],21.702868723260615,6.967027473026928,25.39108603575952,6.901117535403954,39306772,86.66,33076132,80.41,691684,2132275,5.18,[9753076.0],28260522,96.03,23965359,88.41,174459,1557056,5.74,25.94880723705466,22.817257026082896,817854,11537,0.00011428772835591075,818698,39475129,87.15,[9950094.0],21.704155572072743,6.9699552817082555,25.391988776645714,6.902600863556242,25378,21223,134,385290,145
