# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Maxomys-surifer,156792,623.8423325169651,97813487.0,660,47708,35974610,85.38,29714264,77.67,1818560,1135080,2.97,[8804485.0],20.578259818015,8.11770872574373,23.681536071957105,8.106018391667085,35854148,84.99,29711614,77.66,700032,2195065,5.74,[8620868.0],25502699,95.48,21273372,86.46,174133,1590831,6.47,24.186322722541195,20.917362632583693,1119067,13853,0.000141626685898643,1119581,35975678,85.38,[8804562.0],20.57935001846838,8.12030392561962,23.682182299719972,8.10719848172407,31848,25711,181,516224,185
Niviventer-lepturus,141378,650.0619403301787,91904457.0,671,43322,33132797,84.74,28363246,79.79,918844,860089,2.42,[8376105.0],19.954461889114707,6.767034685542005,23.253976926686793,6.71336399150339,32086253,81.95,26250252,73.85,671316,2352044,6.62,[8063765.0],23368392,94.64,19271307,84.60,169723,1746861,7.67,22.823506220324777,18.91551170881517,793443,9810,0.00010674128676914984,793758,33134687,84.75,[8376383.0],19.955798392341226,6.768307051640052,23.25510408972726,6.715605102086067,16543,12203,66,213156,102
Paruromys-dominator,117765,659.3829490935337,77652233.0,674,37349,20423829,83.36,17100432,77.22,607876,764139,3.45,[4194379.0],15.440095441928678,5.8511552874796,17.837587166213343,5.836090406587603,19719606,80.38,15800038,71.35,427982,1643745,7.42,[3969868.0],13729959,93.63,11009643,81.64,113062,1221612,9.06,14.733227879708274,11.883654517310852,828504,10470,0.0001348319242796276,829553,20424329,83.36,[4194511.0],15.440909990462531,5.853775623811253,17.838073667227842,5.83701904311461,16703,13477,115,251360,149
Bunomys-andrewsi,106063,587.6042446470494,62323069.0,593,34441,17264256,82.19,16051340,76.83,553804,401202,1.92,[5612978.0],17.791174704362316,5.499108088663527,20.826594659871553,5.576650362661256,20068280,95.07,18207094,87.14,577072,618027,2.96,[6266642.0],16083205,97.89,14961084,91.53,189479,511792,3.13,18.085439069986435,14.768963120102462,1164865,23249,0.00037304003755014056,1165919,17266787,82.20,[5614387.0],17.79262425842357,5.502604751400171,20.827536178098814,5.581929600199039,50075,40629,265,862048,347
Rattus-exulans,142787,669.9285369116236,95657086.0,680,42274,45145827,92.87,42984888,88.81,1305066,418937,0.87,[15404671.0],30.192287163129453,8.51903145567492,35.55652391835545,8.722984617295277,46612752,95.48,43112518,89.08,1156646,1249290,2.58,[15604090.0],37797463,98.16,35687637,93.09,374383,1046907,2.73,39.9074217955631,33.92256352325671,1348122,14680,0.00015346484629481604,1350773,45148380,92.88,[15405774.0],30.19365850418235,8.523532526676998,35.55702560582754,8.72773151726526,29321,21796,233,343632,241
Rattus-hoffmanni,170671,845.1514902941917,144242850.0,900,47225,95622857,95.02,91192266,91.28,2588704,805972,0.81,[33194162.0],49.03041046554333,12.570463655896793,58.03821935149736,12.921579637038196,98930019,96.61,89247010,89.34,3881268,2025605,2.03,[33109514.0],75792336,98.68,71785040,94.18,941008,1557264,2.04,85.30994765675796,76.89070876003781,2014028,41203,0.00028565020727197224,2019266,95630804,95.03,[33198137.0],49.03278962795169,12.58640474562838,58.039469674241026,12.927943103476794,61212,55579,1342,750814,896
Rattus-leucopus,94221,658.1749609959563,62013903.0,631,30401,18495417,85.57,17710344,82.32,288556,277353,1.29,[5868032.0],19.610775079474948,5.5289743348351665,23.124969518316615,5.5230202909104325,20812738,95.78,19136592,88.95,535234,545048,2.53,[6375903.0],17161368,98.22,16113650,92.73,183908,465070,2.68,20.31563770238978,16.115492952149918,608460,11635,0.0001876192182259517,610265,18496712,85.57,[5868559.0],19.611898328537574,5.531326180940479,23.125628468278993,5.526097922386976,12511,9331,65,142526,115
Rattus-lutreolus,105451,636.6343135674389,67133725.0,621,33151,23223791,87.03,22267524,83.79,440172,302242,1.14,[7770290.0],22.046813619493552,6.065744089230726,26.022970857276214,6.08983004881174,25833800,96.27,23975730,90.22,615238,582921,2.19,[8328012.0],21348868,98.47,20200653,93.69,214010,495836,2.30,24.13950162371523,19.495294893464774,779945,14183,0.0002112649044872752,782026,23225785,87.04,[7770741.0],22.048522801885472,6.0699902634363525,26.023616438242854,6.097394925763021,21196,15552,143,246493,218
Maxomys-musschenbroekii,103387,624.7114917736272,64587047.0,612,32980,20080784,85.00,19142470,81.43,395762,307038,1.31,[6474182.0],20.125386693308503,5.609999896338976,23.717260460408916,5.7425057887898365,22934667,96.61,21301942,90.61,533290,468312,1.99,[7119619.0],18849751,98.62,17888927,94.06,177213,390661,2.05,21.11413732479211,17.4796964157569,872275,17347,0.00026858326561980764,873929,20083607,85.01,[6475258.0],20.127356494104117,5.614285005242878,23.718816369620328,5.745547954572532,25053,19342,172,386327,236
Rattus-praetor,105223,572.6633435655702,60257355.0,583,33021,16523981,82.96,15449184,77.98,532432,331308,1.67,[5248811.0],17.86712452614584,5.630741257744933,20.897759835132486,5.578123432446854,19045420,95.02,17282368,87.23,546752,555818,2.81,[5795377.0],15320783,97.97,14219312,91.58,180469,463750,2.99,18.29259559994193,14.348172751094507,1208083,15137,0.0002512058486470241,1209670,16526120,82.97,[5249995.0],17.86840298499457,5.636665870054254,20.89825704927566,5.58267235509554,20606,15083,144,283280,172
Rattus-villosissimus,119099,579.8688318121899,69061798.0,598,36129,24192367,86.49,23014102,82.69,615042,308967,1.11,[8389509.0],21.90404388671596,6.21812205433776,25.772134076656783,6.28973774551921,27054175,96.23,25076036,90.10,655552,607713,2.18,[9041730.0],22310571,98.48,21104504,93.68,222387,514924,2.29,24.58716768616844,19.91036661351849,1226072,17070,0.0002471699332241538,1228334,24194854,86.50,[8390804.0],21.904475283385928,6.216899942193899,25.773187644869065,6.2908773323185665,19925,14677,139,245800,206
Mus-musculus-reference,135673,729.9093703242355,99028994.0,713,37255,24939706,93.07,24213982,90.43,382540,192571,0.72,[2424715.0],22.48235531532828,7.077480621917517,26.31428476889691,7.163694215438711,26840828,99.99,26416494,98.66,84958,2526,0.01,[2487282.0],21862039,100.00,21625743,99.07,31952,1655,0.01,29.26240442791009,28.65392171866389,921998,21411,0.00021620940630781324,924758,24940574,93.07,[2425050.0],22.482792090162725,7.07886628988212,26.31453329581231,7.164728245801105,14947,11377,84,177980,113
Mus-musculus-musculus,135936,722.9515727989642,98275145.0,695,36591,47647998,93.05,46866010,91.58,372192,188432,0.37,[5827695.0],41.90797353946915,12.13483500949382,49.33805829633848,12.17652640170093,51303425,99.99,50675492,99.02,138758,2545,0.00,[5968325.0],43471368,100.00,43103748,99.31,54133,1667,0.00,56.568451476121645,55.66161406696913,776318,54809,0.0005577096833589002,783143,47651518,93.05,[5828134.0],41.9096195210482,12.139146523171078,49.3394115033478,12.179301089904193,19945,14177,100,188280,205
Mus-musculus-domesticus,145514,740.4921038525503,107751968.0,715,39368,46509817,94.88,45520212,92.93,489938,228762,0.47,[5594682.0],37.52901308528176,10.614390993947021,44.22881775029257,10.75020567375952,49011912,99.96,48488092,98.98,94096,11497,0.02,[5632805.0],40886872,99.98,40590256,99.31,40167,9466,0.02,53.170993140905466,52.3476595182543,1077416,40595,0.00037674485908229536,1081771,46511877,94.89,[5595020.0],37.53018629960445,10.616987355659052,44.22978728920718,10.752400403654173,16755,13140,79,178945,149
Mus-musculus-castaneus,130970,785.4908910437505,102875742.0,757,35766,29320966,94.18,28551808,91.82,317792,260904,0.84,[3814060.0],24.401364571005853,7.835260822541461,28.53673016228899,7.846875676478764,31170078,99.99,30683956,98.68,99284,2859,0.01,[3821343.0],25133333,100.00,24865925,99.09,37784,1960,0.01,32.29575655498304,31.703572134784633,780576,17461,0.00016972903097019703,782997,29321754,94.19,[3814121.0],24.402447311585103,7.837294276668724,28.53747177662914,7.847889312277079,36367,27184,243,434668,279
Mus-caroli,138417,691.5939516099901,95728360.0,678,37664,38295661,92.40,37332228,90.18,488854,210920,0.51,[7030007.0],32.01631702728763,9.715373964509915,37.580196195699216,9.670496565238404,41669187,99.94,40513930,97.87,283234,14954,0.04,[7259821.0],35468293,99.98,34810799,98.54,104356,10521,0.03,42.785807528614846,41.791765382447686,1187446,36026,0.00037633570657640014,1189412,38298214,92.41,[7030695.0],32.01752045674547,9.718325082492568,37.581130167531995,9.67335385843922,27409,21036,200,333806,265
Mus-cervicolor,168308,700.5095004396701,117901353.0,711,45377,53233419,95.90,51312492,92.54,1313858,303366,0.55,[7811584.0],38.19198453618452,10.780709925752031,44.98254772619218,11.01472786116453,55847472,99.93,54052466,97.48,502898,24476,0.04,[7807380.0],46196098,99.97,45166630,98.23,185621,17645,0.04,58.2386753921,57.12161364790594,1599177,24509,0.00020787717338578804,1601199,53235107,95.90,[7812450.0],38.192809324639725,10.784265121899846,44.983269711679014,11.014975529571576,28037,21684,215,329726,205
Mus-cookii,162103,703.5975274979488,114055270.0,694,44276,57336658,95.83,55784236,93.33,957444,264239,0.44,[9942393.0],41.07996740165621,11.553466352987602,48.44022826559099,11.494228312375624,60166724,99.94,58457754,97.80,452822,21427,0.04,[9962996.0],50273623,99.98,49316172,98.50,165908,15141,0.03,60.91218034508276,59.822998063092854,1433324,29679,0.0002602159461811804,1435666,57338666,95.83,[9942976.0],41.08098796697391,11.557781053804886,48.440581975748664,11.499127490595102,26032,20643,194,336693,203
Mus-macedonicus,159247,677.739844392673,107928037.0,684,42257,35360489,94.74,34204476,91.73,775516,213929,0.57,[8028439.0],25.060955016913855,8.08855225843974,29.279070963329012,8.075428358596843,37403424,99.96,36821440,98.75,143438,4871,0.01,[8084509.0],30851482,99.99,30554187,99.20,51520,3660,0.01,34.908567416835275,34.24947234921511,1365026,28631,0.00026527861337828277,1368344,35361184,94.74,[8029004.0],25.06051596027862,8.089281951006477,29.278876564133938,8.07525117942139,25952,19589,184,303113,171
Mus-minutoides,155615,666.8555409182919,103772725.0,670,43574,43744277,94.03,42400586,91.24,841750,231377,0.50,[7010144.0],34.89237057110223,9.609784062100166,41.18378043457779,9.558036056711169,46708745,99.72,45092122,97.03,567584,77988,0.17,[7159133.0],39501890,99.91,38712997,98.23,201532,55723,0.14,48.898645599076914,47.387487869380614,1572653,35074,0.00033798861887841916,1574819,43746458,94.03,[7010896.0],34.89332685539606,9.613812459123546,41.184593614501054,9.55997042879024,33516,25027,292,417889,290
Mus-molossinus,130974,682.8741047841556,89438753.0,678,35044,28163389,90.35,27467760,88.19,356270,154796,0.50,[4155455.0],26.267257033657533,8.365735268654321,30.73343310221488,8.326458296862285,31228398,99.99,30760506,98.76,81032,1794,0.01,[4373925.0],25976639,100.00,25706186,99.12,31510,1217,0.00,32.71071449381563,32.05924041429272,984826,31292,0.00034987070984766525,987899,28165596,90.35,[4156017.0],26.267934418822364,8.3672286296327,30.733912629336984,8.329386712057435,17194,13060,71,213970,145
Mus-pahari,134839,648.4265160673099,87433183.0,649,38330,33282787,90.04,32370654,87.66,508032,204299,0.55,[6093858.0],30.424641131099218,8.708504337423905,35.83206595116082,8.66427953979624,37112347,99.66,35812804,96.99,397612,66209,0.18,[6489110.0],31316628,99.90,30616699,98.11,138679,44671,0.14,38.1389726576562,36.58809814901552,1110498,37754,0.00043180402113463033,1112806,33286112,90.05,[6094874.0],30.426159342275106,8.711829746032453,35.83363116738564,8.666688959386127,29785,22445,235,393120,306
Mus-platythrix,156109,554.3616639655626,86540845.0,595,40773,51635189,87.25,50618752,85.60,627538,176343,0.30,[11863346.0],44.56695469161984,12.392345705518242,52.4993386131318,12.453435289264123,59445255,99.88,58167906,98.37,393708,27826,0.05,[12951476.0],51826822,99.98,51223296,99.06,134295,19640,0.04,58.872223226397836,57.26536718812073,1371099,47865,0.0005530914332995016,1373538,51642648,87.27,[11865518.0],44.56867644399734,12.398208486880755,52.50227116950658,12.459593108400906,28455,21803,237,389873,409
Mus-spicilegus,112773,735.463852163195,82940465.0,708,30917,30128666,89.03,29624188,87.64,143366,160957,0.48,[5455089.0],28.740540517724554,9.294277574734307,33.60600928856725,9.251098956334467,33928392,99.99,33377076,98.75,114564,2580,0.01,[5778780.0],28162895,100.00,27860468,99.14,41222,1818,0.01,34.164139501734105,33.41303122445759,657935,33910,0.0004088474787306775,664335,30131153,89.04,[5455717.0],28.74247736790264,9.297237004340227,33.60731268842765,9.256276808645195,20819,15803,160,249860,260
Mus-spretus,124508,776.4781138561377,96677737.0,744,34199,25660668,92.95,25071264,90.91,180944,234631,0.85,[2478687.0],23.625665151444295,7.445218390866853,27.678182491867464,7.37816413301609,27675740,99.98,27135748,98.40,127966,4286,0.02,[2523186.0],22756492,99.99,22470389,98.93,45802,3042,0.01,30.497007343170804,29.84398704009355,717650,18652,0.00019292962970368245,720004,25661375,92.95,[2478776.0],23.626453364728516,7.445744204359855,27.67863547581169,7.380422065353348,29967,23129,213,369830,258
Coccymys-ruemmleri,128065,1078.2007964705424,138079785.0,1055,37309,31193010,95.12,29477828,90.66,826332,597448,1.84,[12751888.0],18.816195142642634,5.803352805591444,22.063184990233758,5.8218988438123285,33552668,98.56,29127892,89.59,2089248,355290,1.09,[12658989.0],23202575,99.51,22088789,95.74,411711,195789,0.85,28.018450568552193,26.074681053448348,996675,60404,0.00043745722808012774,997326,31194930,95.12,[12752454.0],18.818358817847855,5.806246054791751,22.064972762159684,5.82616804023711,20933,17428,347,208642,276
Grammomys-dryas-LSUMZ37716,158613,947.6039290600393,150302302.0,1053,41936,31822343,95.25,29274332,88.23,1697042,608485,1.83,[13211663.0],17.70861176594113,5.839663240809372,20.6467578743906,5.766290377992124,33846391,97.79,29074676,87.63,2043964,530993,1.60,[13022209.0],23302652,99.22,21594172,93.59,448764,301571,1.31,28.16547054039253,25.879336198011075,4229489,54501,0.0003626092167237731,4230303,31825170,95.26,[13213882.0],17.70811079388396,5.842572311735284,20.645562689363548,5.771425899341636,27383,20253,417,284190,245
Carpomys-melanurus,176637,940.9346343065156,166203871.0,1064,45743,50609003,95.56,46869270,89.09,2570462,787544,1.50,[25344402.0],21.928407697670625,6.7735251150842,25.703247014767427,6.530084807807661,52272676,95.96,45267272,86.04,2985334,1370510,2.61,[24516443.0],35836367,98.74,33691662,93.59,560000,809155,2.25,37.12517734711656,33.0927860735918,5914683,55686,0.0003350463479878877,5916992,50610727,95.57,[25347482.0],21.929502177424613,6.7802337638874555,25.70477128618726,6.526282499525373,23205,19194,467,269105,426
Crateromys-heaneyi,165479,910.9891466590927,150749573.0,1054,43021,34431988,94.84,31386064,87.13,2055610,682485,1.89,[13828129.0],19.31828843359648,6.102804073750981,22.578410994132735,5.992645088183791,36108170,96.55,31400748,87.17,2094224,827895,2.30,[13586765.0],24822024,98.89,23589048,94.53,400538,487728,1.95,31.195002829872518,27.56791085572907,5244601,54983,0.0003647307180100603,5246180,34435191,94.85,[13830278.0],19.31682027113519,6.105473911536897,22.57634520621182,5.999143175281721,30037,22511,517,371601,374
Dasymys-montanus,160661,940.1225250683116,151041025.0,1033,42710,32501743,95.71,29790944,88.28,1948448,537346,1.59,[12790330.0],18.856657737109263,5.860589182551112,22.057964291675873,6.003749510920985,34227501,97.86,30175620,89.42,1794770,491026,1.46,[12572986.0],23683852,99.31,22509318,95.22,381198,279594,1.18,29.354796472863114,27.222831648278014,3962240,57238,0.00037895664439512375,3963922,32503814,95.72,[12793069.0],18.855283368996897,5.857412351094134,22.056774317127573,6.008135524595193,34145,25758,582,363742,354
Aethomys-hindei,164610,926.7797217665999,152557210.0,1011,44753,39481175,95.55,36275184,88.52,2172708,685009,1.67,[15503518.0],22.141452918527545,7.033985118527986,25.868103828552435,7.105375188929055,41992862,98.07,36199362,88.34,2647608,571644,1.39,[15314762.0],29369312,99.30,27567923,94.59,558053,328751,1.13,36.14979432645133,33.56344200112941,3070537,58415,0.00038290553425826285,3071896,39485650,95.56,[15506009.0],22.141412879227005,7.043448382176246,25.866775043201272,7.1119110116648505,37081,28803,599,415713,353
Hylomyscus-stella,138991,1147.6231698455297,159509292.0,1174,40028,41391483,94.90,37648518,87.38,2110632,1069019,2.48,[16412974.0],21.704580641768192,7.393139008641095,25.28295380060341,7.329542104246356,44488309,98.08,36691848,85.16,4042216,632212,1.47,[16098887.0],28825299,99.32,26762352,93.57,834475,311161,1.09,34.822592282132604,32.838376909743005,1456873,47287,0.00029645294896049065,1458381,41394104,94.91,[16414008.0],21.7062858006519,7.404071668742256,25.282627051058206,7.338349511859298,57665,42036,1056,619592,541
Anisomys-imitator,190448,832.0092833739393,158454504.0,953,48463,46157424,96.54,42597114,89.89,2483736,642512,1.36,[18530103.0],24.97552674019857,7.90309410837426,29.175688681395243,7.820620883679204,49110451,98.90,42804186,90.32,2945040,397710,0.84,[18360669.0],35256733,99.64,33590148,96.08,574653,216871,0.62,42.372991172092306,39.897946926989164,6079734,87089,0.0005496151753439587,6081892,46161853,96.55,[18534552.0],24.973878044749803,7.908373811170628,29.173943071295767,7.824246653442652,29644,22644,585,258292,323
Crunomys-melanius-KU168403,147909,955.638345198737,141347512.0,1029,41189,30523000,94.78,28047360,87.87,1578004,592556,1.86,[12303211.0],18.099845006170106,5.845350340108322,21.074953252085823,6.327835663811779,32417849,97.23,27652526,86.63,2158452,595860,1.87,[12108687.0],22109592,99.08,20557327,93.57,457815,340539,1.55,27.448487595941202,24.65620842768464,2852842,51391,0.0003635790915088764,2854068,30525692,94.78,[12305389.0],18.099279031466885,5.855080785174675,21.072486580477776,6.335336469633285,25239,19289,471,255787,234
Niviventer-rapit,168150,754.2600535236396,126828828.0,835,46819,29593045,93.82,27429536,87.76,1410408,461085,1.48,[11892055.0],19.33123200320941,6.111335891902215,22.553284442516844,6.187333543309536,31803142,97.57,27565486,88.20,1953760,539888,1.73,[11860424.0],22566369,99.15,21295023,94.68,404937,332496,1.48,28.74830681734342,24.937963451839366,4338050,88493,0.000697735691447058,4339458,29599273,93.84,[11896297.0],19.33305951781181,6.128161812624242,22.553710100681382,6.191077270947286,30872,22696,515,322074,361
Phloeomys-cumingi,129123,1019.7214129163666,131669488.0,973,39317,32211706,95.10,30561812,90.98,822368,529764,1.58,[13941422.0],19.604491846627425,5.4935902098744185,23.12994569478236,5.48415219204559,34041806,97.43,29782996,88.66,1923450,601511,1.79,[13698300.0],23899463,99.16,22852599,95.43,332749,359953,1.50,28.240730542900028,25.415185481546384,998705,85256,0.0006475000495179263,999753,32214128,95.11,[13942432.0],19.607729095753268,5.500712775720651,23.132664358276635,5.487622844610365,26785,22237,453,337199,388
Aethomys-nyikae,127957,1139.2613924990426,145776470.0,1137,36731,37645360,95.47,35473326,90.65,1136322,707790,1.81,[15908692.0],21.20757802638312,6.570242265377768,24.857582646473094,6.585512051545295,39903758,97.97,34554550,88.30,2381774,569379,1.46,[15604969.0],27738805,99.31,25972056,94.33,532352,323793,1.18,32.89990915516822,30.562078316509453,1103898,52708,0.0003615672680234334,1105387,37647543,95.48,[15909492.0],21.209475300036818,6.57868319698596,24.85829158357066,6.589186158361561,25364,20990,423,254074,334
Hybomys-planifrons,163086,888.7293759120954,144939319.0,929,45707,39141579,95.91,36258618,89.44,2066478,541127,1.33,[16760595.0],21.987256334394434,6.738700672349576,25.75650395069346,6.770321772881281,41370965,98.20,36504666,90.04,2120800,529917,1.31,[16557718.0],29549809,99.41,28100879,95.50,453097,309736,1.05,33.968131494169064,31.504493017879188,3113184,84244,0.0005812363448458041,3114964,39145409,95.92,[16763966.0],21.985016109949452,6.746080144807957,25.753511404824803,6.77176774758073,28627,22102,544,322552,376
Pogonomys-macrourus,130719,1039.088051469182,135828551.0,1014,38070,41444594,95.52,39008326,90.73,1340660,681959,1.59,[16697999.0],25.302561705510236,7.536361823308212,29.730293491423925,7.601164657473411,44648832,98.62,38300166,89.09,2753730,439035,1.02,[16598916.0],31998479,99.57,29964339,95.13,514564,239918,0.76,38.339256616373326,36.11619936245366,923150,96173,0.000708047014357092,925071,41450160,95.53,[16698093.0],25.307737077389422,7.55150430233535,29.733090788052206,7.614944606648905,23836,19944,432,226820,368
Musseromys-anacuao,146414,925.6157539579549,135523105.0,958,41794,30115323,94.93,27989400,88.91,1358568,520696,1.65,[13402301.0],17.638730665996068,5.368946487887649,20.691787086036147,5.273170466075802,31532912,96.62,27399214,87.03,1867916,736456,2.34,[13116722.0],22212866,98.86,21036813,94.32,348265,452356,2.03,26.165981451965138,23.03581062412767,2939170,72459,0.0005346615988469272,2939985,30117492,94.94,[13404486.0],17.639478150601104,5.371018077804633,20.692912603559552,5.273535304334355,26685,20450,421,304005,361
Limnomys-sibuanus,138771,1016.7865908583206,141100492.0,1094,38034,30879259,94.58,28548638,88.11,1420498,658248,2.03,[12789224.0],18.209550684540787,5.82982965769166,21.278679150164006,5.831802484826285,32531189,96.61,27831946,85.90,2142552,777339,2.40,[12495075.0],22537151,98.73,20894185,92.64,529504,491210,2.18,28.259327414955358,24.896595163043084,2810226,46317,0.0003282554110442081,2811149,30881980,94.59,[12792198.0],18.20879408484046,5.834006925116855,21.276775154048515,5.838734466943851,26086,19609,418,233676,238
Pithecheir-melanurus,197339,839.6280816260344,165691366.0,944,50867,54394626,95.66,49202938,87.26,3634398,1067189,1.89,[25223176.0],25.16308899833325,7.992115542914581,29.41574229526882,7.703750499667855,56943569,97.42,49318822,87.47,3804382,944543,1.68,[24958805.0],39385633,99.12,37044843,94.07,965844,563684,1.43,41.59439968388182,39.25473930028919,6246916,76823,0.00046365119592290646,6253647,54399701,95.67,[25228242.0],25.163947749845043,7.994709945320271,29.41649541028216,7.71125077834206,31417,24701,677,372196,577
Thamnomys-venustus,174715,879.9824514208855,153746134.0,952,47418,40038983,96.17,37243908,90.07,1940496,543119,1.31,[16768613.0],21.779081043345172,6.499949979194148,25.533177531652306,6.647484313816203,42228177,98.38,37325352,90.26,2140260,475041,1.15,[16548887.0],30258084,99.49,28783741,95.67,430607,267714,0.89,35.73779173420513,33.25532600715943,4039040,86084,0.000559910013737321,4040415,40042199,96.17,[16773116.0],21.775963344148902,6.501500173424091,25.530169581974043,6.648136797308926,32047,24639,538,400170,418
Mammelomys-lanosus,177466,737.0638939289779,130803781.0,824,48021,30630296,94.18,28294442,87.72,1611046,453664,1.41,[12959172.0],19.048739488026747,5.923567605583768,22.234950103467543,6.032995392750655,33230034,98.56,29127836,90.30,1837742,307541,0.95,[13064283.0],23938968,99.58,22778274,95.99,351650,175457,0.74,28.445039969007812,25.937042248652638,4727634,102015,0.0007799086480535298,4729168,30636675,94.20,[12963862.0],19.050369825184113,5.927499559632819,22.236260141144,6.0412311281066104,29879,23411,510,391953,405
Xenuromys-barbatus,131783,1026.7016838287184,135301828.0,994,38431,41172058,95.51,38914356,91.12,1153516,677265,1.59,[17239713.0],24.80095006410669,7.545523005696184,29.120449168661256,7.470884717322227,44250286,98.77,38327676,89.75,2602022,395955,0.93,[17078697.0],32012498,99.58,30085125,95.26,529265,228228,0.72,38.25218661037329,35.56319860230835,913573,111702,0.0008255764290191261,914916,41177501,95.52,[17241068.0],24.805260860001756,7.553242095363071,29.12278619879611,7.487572774833339,23803,20032,417,230995,353
Hydromys-sp-nov,134753,1007.8867706099307,135815766.0,1072,37703,36800051,94.78,34146526,88.79,1571280,698430,1.82,[14768710.0],21.989580516635623,7.2677574798061775,25.670427126009887,7.113916749764101,39883844,98.43,33994454,88.39,2612762,449677,1.17,[14714761.0],27770219,99.45,25926626,94.63,534633,245978,0.90,33.694629423216064,30.93132216480247,1808669,56739,0.0004177644589509586,1810163,36805562,94.79,[14770525.0],21.99245724389794,7.273964419361525,25.670631381133926,7.136314721565795,25591,21009,400,248668,325
Xeromys-myoides,139296,1096.6772125545601,152762749.0,1085,40105,56111594,95.56,52243938,89.84,2274068,995261,1.71,[22816004.0],30.67482721424161,9.636743470785367,35.91492069103527,9.75662280220825,59931793,97.91,49996964,85.97,4281930,859300,1.48,[22424011.0],41700083,99.24,38089267,92.66,839538,495495,1.21,49.890056760864624,46.769084828711044,1391188,58568,0.0003833918961487136,1398987,56115686,95.57,[22817880.0],30.678139238955428,9.654879047791836,35.915726138486065,9.763827928390842,33309,27678,704,292249,415
Pseudohydromys-pumehanae,150748,865.7187027356914,130505363.0,911,41463,37544132,94.95,34752224,88.76,1808722,583615,1.49,[14266099.0],24.702602940875618,8.016783404242895,28.836457985536576,8.013596502907362,40784064,98.68,34793122,88.87,2680060,370241,0.95,[14255346.0],28751568,99.58,26944469,95.18,497229,200181,0.71,36.34867941362766,33.49533071067471,2167847,108372,0.0008304026555598332,2170465,37550797,94.96,[14268841.0],24.705094008333102,8.029162967504215,28.8364481246097,8.032207801628607,28486,22365,519,280018,443
Leptomys-elegans,169028,810.3284248763518,136968193.0,894,45595,31363873,95.22,28483730,87.22,2095786,497312,1.52,[12283735.0],19.72854580925322,6.655666603300289,22.974214202600205,6.512583336154197,33724098,98.20,28508934,87.30,2205852,426514,1.31,[12321673.0],23415798,99.33,21568267,93.48,434501,249619,1.08,28.71029287993619,26.519017292022827,3553960,81421,0.0005944518812480792,3556170,31367500,95.23,[12288435.0],19.725850999927168,6.664561873739854,22.969426728883075,6.51979429105776,31997,26161,495,409042,367
Pelomys-isseli,174873,832.8233346485736,145638315.0,918,46508,36116832,95.18,33085002,87.96,2054160,634564,1.69,[15199245.0],20.44754210888945,6.549596898664281,23.861759566108784,6.63676299179197,38462406,97.86,33012688,87.77,2599580,539024,1.43,[14989788.0],26771804,99.36,25245261,94.91,502793,287500,1.08,31.410460030241328,29.010504210840075,4598712,96099,0.0006598469640355287,4600269,36121266,95.19,[15203722.0],20.448202030297203,6.556729067878464,23.861624903412658,6.641253527119412,29211,22546,536,283580,353
Niviventer-bukit,158892,838.3477015834656,133206743.0,880,45482,35768541,93.46,33223554,87.64,1593704,586754,1.55,[14398536.0],22.237212179506194,6.803421290142349,26.046620041697242,6.845778258762573,38433137,97.24,33137452,87.41,2490608,692572,1.83,[14327278.0],26871144,99.12,25311111,94.48,509010,408613,1.53,34.10768109487478,29.897468113255158,2581061,115625,0.0008680116140967429,2583894,35776998,93.48,[14403361.0],22.23849980874395,6.8128843024765935,26.0470257702942,6.852173115278131,35467,27055,637,373154,449
Genus-sp-nov,181022,784.0077946326966,141922659.0,874,49349,34760990,93.85,32512768,88.45,1449992,514449,1.40,[13402687.0],21.199166894531686,6.331077544809825,24.8584703689746,6.149633412401388,37300180,97.60,32703212,88.96,2066426,595705,1.62,[13391471.0],26378370,99.23,25008021,95.10,416477,356004,1.35,34.1731195022153,30.33755424527482,5016160,103467,0.0007290379191669457,5018900,34768207,93.87,[13404402.0],21.2057129415687,6.344064557610455,24.86503793865653,6.157503868532823,20683,16741,352,275701,262
