Species,batch,count,avg len,N50,L50
Praomys jacksoni,G1.4,137642,912.285022,888,41299
Mus pos_ctrl_C,G1.4,41397,774.1566539,741,14420
Mus pos_ctrl_D1,G1.4,24984,722.9707813,689,9204
Margaretamys christinae,G1.4,138175,920.5013208,886,41522
Dasymys incomtus,G1.4,136519,896.1405372,887,40307
Taeromys callitrichus,G1.4,131910,1006.221386,1010,38530
Hybomys lunaris,G1.4,134196,914.1344899,883,40223
Sundamys annandalei,G1.4,212770,686.3447244,790,57706
Nesokia indica,G1.4,165188,702.4861733,750,47608
Macruromys major,G1.4,129591,895.6666049,863,38968
Mus musculoides,G1.4,261180,668.3616012,816,64826
Pelomys minor,G1.4,142842,1001.722715,983,42234
Tarsomys apoensis,G1.4,134722,928.0101914,900,40853
Batomys russatus,G1.4,129291,943.8582423,918,39196
Halmaheramys bokimekot,G1.4,132895,936.2592122,911,40350
Chiruromys vates,G1.4,137194,932.2732627,902,40241
Chrotomys whiteheadi,G1.4,130820,906.0313637,878,39620
Abeomelomys sevia,G1.4,102886,849.468606,818,31501
Berylmys mackenzii,G1.4,117286,838.5585748,800,37196
Solomys salebrosus,G1.4,130320,897.2377762,860,38792
Zelotomys woosnami,G1.4,190031,727.9534444,800,50841
Kadarsanomys sodyi,G1.4,108945,774.0637386,761,34891
Mallomys rothschildi,G1.4,163176,738.5938189,793,45091
Taeromys taerae,G1.4,127461,928.2079852,904,39004
Vandeleuria oleracea,G1.4,127297,871.0432925,835,39156
Mus pos_ctrl_G,G1.4,10463,657.6314633,636,4012
Mus pos_ctrl_D2,G1.4,19492,715.0122614,682,7275
Conilurus albipes,G1.5,144370,733.9918196,742,41392
Conilurus penicillatus,G1.5,135640,814.2587585,854,38654
Leggadina forresti,G1.5,157499,726.7717636,780,43507
Leggadina lakedownensis,G1.5,175030,735.8313832,816,46769
Mesembriomys gouldii,G1.5,144112,831.1893874,895,40011
Mesembriomys macrurus,G1.5,131952,756.7009898,795,38285
Notomys alexis,G1.5,161346,702.7145637,774,43716
Notomys amplus,G1.5,92327,639.5264657,625,29057
Notomys aquilo,G1.5,160833,742.0886199,800,44548
Notomys cervinus,G1.5,160366,697.6052467,748,44756
Notomys fuscus,G1.5,158989,712.3459736,766,43910
Notomys longicaudatus,G1.5,82909,604.9603421,582,27203
Notomys macrotis,G1.5,20267,498.9293926,479,7964
Notomys mitchellii,G1.5,126147,709.0029569,744,36697
Pseudomys patrius,G1.5,136182,745.8370122,746,39550
Pseudomys pilligaensis,G1.5,145554,675.9382635,701,42079
Pseudomys shortridgei,G1.5,161436,703.307354,808,43109
Rattus colletti,G1.5,164181,693.7784762,751,46145
Rattus tunneyi,G1.5,135066,651.4138791,660,41011
Zyzomys argurus,G1.5,161645,724.9052801,787,43305
Zyzomys maini,G1.5,192248,612.3772107,710,49330
Zyzomys palatalis,G1.5,142902,742.0429175,777,40807
Zyzomys pedunculatus,G1.5,152417,801.3606947,838,42443
Zyzomys woodwardi,G1.5,118002,775.3801461,781,35000
Pseudomys albocinereus,G1.5,174559,640.5583442,715,47681
Pseudomys apodemoides,G1.5,208424,608.0789544,727,52791
Pseudomys auritus,G1.5,1304,521.3489264,505,390
Pseudomys australis,G1.5,232742,563.3903077,691,58066
Pseudomys bolami,G1.5,147741,732.6212426,813,40136
Pseudomys calabyi,G1.5,190886,655.195698,737,50330
Pseudomys chapmani,G1.5,139949,818.5256486,822,40620
Pseudomys delicatulus,G1.5,140038,772.9069538,774,41050
Pseudomys desertor,G1.5,169520,664.6271649,722,46393
Pseudomys fieldi,G1.5,142554,769.8141336,788,40663
Pseudomys fumeus,G1.5,233321,613.4984935,761,57158
Pseudomys gouldii,G1.5,90832,605.4556764,586,30052
Pseudomys gracilicaudatus,G1.5,199037,581.9325201,686,51250
Pseudomys higginsi,G1.5,150636,838.881456,903,40799
Pseudomys johnsoni,G1.5,175202,718.7428854,799,46706
Pseudomys nanus,G1.5,234585,535.6887013,652,60165
Pseudomys novaehollandiae,G1.5,121304,677.2118891,672,36541
Pseudomys occidentalis,G1.5,164976,695.1504704,739,45691
Pseudomys oralis,G1.5,183795,737.7701733,830,48416
Leggadina_forresti,C1.5,137797,798.9158763,NA,NA
Leggadina_lakedownensis,C1.5,187799,691.8906597,NA,NA
Mastacomys_fuscus,C1.5,180263,709.1116646,NA,NA
Mastacomys_fuscus,C1.5,124225,842.567575,NA,NA
Notomys_alexis,C1.5,139374,778.6163273,NA,NA
Notomys_amplus,C1.5,79216,645.1079959,NA,NA
Notomys_aquilo,C1.5,140630,813.9570646,NA,NA
Notomys_cervinus,C1.5,154926,696.8297252,NA,NA
Notomys_fuscus,C1.5,138691,788.4446792,NA,NA
Notomys_longicaudatus,C1.5,64675,682.5645922,NA,NA
Notomys_macrotis,C1.5,15360,579.1393229,NA,NA
Notomys_mitchelli,C1.5,131700,751.2042521,NA,NA
Notomys_mitchellii,C1.5,108646,785.5876885,NA,NA
Pseudomys_albocinereus,C1.5,135031,766.4675667,NA,NA
Pseudomys_apodemoides,C1.5,146834,792.8648814,NA,NA
Pseudomys_auritus,C1.5,1370,589.0489051,NA,NA
Pseudomys_australis,C1.5,152124,770.6062686,NA,NA
Pseudomys_bolami,C1.5,144099,725.8268066,NA,NA
#Pseudomys_bolami,C1.5,125505,848.1690132,NA,NA
Pseudomys_calabyi,C1.5,166205,833.1078608,NA,NA
Pseudomys_calabyi,C1.5,170691,705.1399957,NA,NA
Pseudomys_chapmani,C1.5,141219,804.926922,NA,NA
Pseudomys_delicatulus,C1.5,129418,822.6384042,NA,NA
Pseudomys_delicatulus,C1.5,124656,808.6753786,NA,NA
Pseudomys_delicatulus,C1.5,143313,755.5385276,NA,NA
Pseudomys_desertor,C1.5,145297,738.6509013,NA,NA
Pseudomys_fieldi,C1.5,134706,804.5045061,NA,NA
Pseudomys_fumeus,C1.5,200395,681.5060905,NA,NA
Pseudomys_gouldii,C1.5,70643,661.0706793,NA,NA
Pseudomys_gracilicaudatus,C1.5,142217,739.8445474,NA,NA
Pseudomys_hermannsburgensis,C1.5,128712,788.3999316,NA,NA
Pseudomys_higginsi,C1.5,139713,895.9169727,NA,NA
Pseudomys_johnsoni,C1.5,193564,657.6464787,NA,NA
Pseudomys_nanus,C1.5,159482,706.6962102,NA,NA
Pseudomys_novaehollandiae,C1.5,149642,779.9824915,NA,NA
Pseudomys_novaehollandiae,C1.5,109475,687.7695456,NA,NA
Pseudomys_occidentalis,C1.5,148373,744.5513672,NA,NA
Pseudomys_oralis,C1.5,158261,823.765912,NA,NA
Pseudomys_patrius,C1.5,137050,734.703911,NA,NA
Pseudomys_pilligaensis,C1.5,124579,758.3329373,NA,NA
Pseudomys_shortridgei,C1.5,129801,825.04322,NA,NA
Pseudomys_shortridgei,C1.5,163262,621.7949676,NA,NA
Pseudomys_shortridgei,C1.5,118781,928.4454921,NA,NA
Zyzomys_argurus,C1.5,149036,764.5460627,NA,NA
Zyzomys_maini,C1.5,130924,816.2295148,NA,NA
Zyzomys_palatalis,C1.5,126694,804.4246057,NA,NA
Zyzomys_pedunculatus,C1.5,147773,821.4227633,NA,NA
Zyzomys_woodwardi,C1.5,111966,797.4375078,NA,NA
Apomys lubangensis,G2.1,139366,678.007814,702,42171
Batomys salomonseni,G2.1,143944,649.2671733,668,44092
Bulimus bagobus,G2.1,134098,703.8034646,718,41736
Chrotomys mindorensis,G2.1,152027,687.316378,717,45645
Phloeomys pallidus,G2.1,137803,677.9949493,691,42618
Rhynchomys isarogensis,G2.1,151011,584.2312679,566,48782
Sundamys meulleri,G2.1,128659,664.8856279,689,40140
Taeromys punicans,G2.4,134893,1037.065267,1012,40229
Hyorhinomys stuempkei,G2.1,130945,709.0160067,729,39678
Hybomys univittatus,G2.1,139574,611.0601258,631,43901
Colomys goslingi,G2.1,134062,723.5439797,741,39050
Malacomys longipes,G2.1,143150,697.1523926,709,43054
Hylomyscus vulcanorum,G2.1,175188,598.7902196,636,52647
Praomys degraaffi,G2.1,142544,618.0587818,644,42853
Grammomys sp,G2.1,149257,701.2509564,724,45193
Lemniscomys striatus,G2.1,137462,683.846212,702,42244
Berylymys bowersi,G2.1,159125,615.9040377,614,49513
Crunomys celebensis,G2.1,140170,691.8461939,704,43948
Echiothrix centrosa,G2.1,130812,643.8289148,652,41307
Gracillimus radix,G2.1,152090,696.934473,708,46450
Leopoldomys sabanus,G2.1,142306,691.315714,693,44307
Margaretamys parvus,G2.4,136834,1016.711928,996,40523
Melasmothrix naso,G2.1,137537,693.3062449,699,42160
Paucidentomys vermidax,G2.1,141395,695.3578839,707,43754
Sommeromys macrorhinos,G2.1,133144,670.9937511,696,40137
Tateomys macrocercus,G2.1,125140,655.1206489,668,38848
Tateomys rhinogradoides,G2.1,141568,713.0634819,727,43085
Waiomys mamasae,G2.1,153264,590.1006303,585,48255
Chiropodomys gliroides,G2.1,135281,660.1719236,667,42107
Lorentzimys nouhuysi,G2.1,147104,706.8340766,731,42990
Mastacomys fuscus,G2.1,141255,684.9636402,696,42839
Melomys rufescens,G2.1,143856,639.0895896,648,43837
Hydromys chrysogaster,G2.1,124853,522.8672519,515,40516
Apodemus sylvaticus,G2.1,138672,675.6079237,700,42116
Archboldomys luzonensis,G2.1,135243,699.8617821,717,40873
Bunomys chrysocomus,G2.1,151911,632.873156,662,45494
Haeromys minahassae,G2.1,134874,666.4489449,680,42437
Maxomys surifer,G2.1,156792,623.8423325,660,47708
Niviventer lepturus,G2.1,141378,650.0619403,671,43322
Paruromys dominator,G2.1,117765,659.3829491,674,37349
Bunomys andrewsi,G2.2,106063,587.6042446,593,34441
Rattus exulans,G2.2,142787,669.9285369,680,42274
Rattus hoffmanni,G2.4,170671,845.1514903,900,47225
Rattus leucopus,G2.2,94221,658.174961,631,30401
Rattus lutreolus,G2.2,105451,636.6343136,621,33151
Maxomys musschenbroekii,G2.2,103387,624.7114918,612,32980
Rattus praetor,G2.2,105223,572.6633436,583,33021
Rattus villosissimus,G2.2,119099,579.8688318,598,36129
Mus musculus reference,G2.3,135673,729.9093703,713,37255
Mus musculus musculus,G2.3,135936,722.9515728,695,36591
Mus musculus domesticus,G2.3,145514,740.4921039,715,39368
Mus musculus castaneus,G2.3,130970,785.490891,757,35766
Mus caroli,G2.3,138417,691.5939516,678,37664
Mus cervicolor,G2.3,168308,700.5095004,711,45377
Mus cookii,G2.3,162103,703.5975275,694,44276
Mus macedonicus,G2.3,159247,677.7398444,684,42257
Mus minutoides,G2.3,155615,666.8555409,670,43574
Mus molossinus,G2.3,130974,682.8741048,678,35044
Mus pahari,G2.3,134839,648.4265161,649,38330
Mus platythrix,G2.3,156109,554.361664,595,40773
Mus spicilegus,G2.3,112773,735.4638522,708,30917
Mus spretus,G2.3,124508,776.4781139,744,34199
Coccymys ruemmleri,G2.4,128065,1078.200796,1055,37309
Grammomys dryas,G2.4,158613,947.6039291,1053,41936
Carpomys melanurus,G2.4,121942,1066.62697,1045,36753
Crateromys heaneyi,G2.4,165479,910.9891467,1054,43021
Dasymys montanus,G2.4,160661,940.1225251,1033,42710
Aethomys hindei,G2.4,164610,926.7797218,1011,44753
Hylomyscus stella,G2.4,138991,1147.62317,1174,40028
Anisomys imitator,G2.4,190448,832.0092834,953,48463
Crunomys melanius,G2.4,147909,955.6383452,1029,41189
Niviventer rapit,G2.4,168150,754.2600535,835,46819
Phloeomys cumingii,G2.4,129123,1019.721413,973,39317
Aethomys nyikae,G2.4,127957,1139.261392,1137,36731
Hybomys planifrons,G2.4,163086,888.7293759,929,45707
Pogonomys macrourus,G2.4,130719,1039.088051,1014,38070
Musseromys anacuao,G2.4,146414,925.615754,958,41794
Limnomys sibuanus,G2.4,138771,1016.786591,1094,38034
Pithecheir melanurus,G2.4,169438,803.6356484,880,45603
Thamnomys sp.,G2.4,174715,879.9824514,952,47418
Mammelomys lanosus,G2.4,177466,737.0638939,824,48021
Xenuromys barbatus,G2.4,131783,1026.701684,994,38431
Hydromys sp nov,G2.4,134753,1007.886771,1072,37703
Xeromys myoides,G2.4,143467,909.5645828,945,40587
Pseudohydromys ellermani,G2.4,150748,865.7187027,911,41463
Leptomys elegans,G2.4,169028,810.3284249,894,45595
Pelomys isseli,G2.4,174873,832.8233346,918,46508
Niviventer bukit,G2.4,158892,838.3477016,880,45482
Genus sp nov,G2.4,181022,784.0077946,874,49349
Saxatilomys paulinae,G2.4,160685,846.9651679,898,45101
Crunomys sp.,G2.4,125266,1085.823951,1089,37093
Microhydromys richardsoni,G2.4,175074,819.2975428,909,46845
Uromys caudimaculatus,G2.4,129226,1013.476096,997,37409
Mirzamys louiseae,G2.4,131150,1030.562775,1008,37952
Papagomys armandvillei,G2.4,158652,871.3711709,911,44874
Chiromyscus chiropus,G2.4,161690,803.5583648,849,46786
Pogonomelomys bruijni,G2.4,128147,957.0663691,937,38140
Paraleptomys sp,G2.4,173356,810.449122,883,46548
Oenomys hypoxanthus,G2.4,165613,857.3975473,913,45452
Bandicota indica,G2.4,130252,847.3813915,859,38895
Rattus xanthurus,G2.4,167384,871.7717404,945,46360
Lenomys meyeri,G2.4,155704,899.7019922,1020,41787
Thamnomys kempi,G2.4,221961,652.2752105,784,56515
Parahydromys asper,G2.4,162319,792.3442542,859,44457
