Sample,Assembly,No_scaffolds,Mean_Len,Identical scaffolds,noContigs,dedupeContigs,codingTargets,noncodingTargets,totalTargets,coding_minLen,coding_maxLen,coding_meanLen,coding_medianLen,noncoding_minLen,noncoding_maxLen,noncoding_meanLen,noncoding_medianLen
Zyzomys_pedunculatus,C,147773,821.4227633,68181,147773,141946,118978,21545,140523,60,10909,643.9956547,568,60,14015,911.8664655,582
Zyzomys_woodwardi,C,111966,797.4375078,72330,111966,110808,104661,17155,121816,60,8967,562.799763,501,60,7900,821.4944914,542
Leggadina_forresti,G,157499,726.7717636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leggadina_lakedownensis,G,175030,735.8313832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastacomys_fuscus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastacomys_fuscus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_alexis,G,161346,702.7145637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_amplus,G,92327,639.5264657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_aquilo,G,160833,742.0886199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_cervinus,G,160366,697.6052467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_fuscus,G,158989,712.3459736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_longicaudatus,G,82909,604.9603421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_macrotis,G,20267,498.9293926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_mitchelli,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_mitchellii,G,126147,709.0029569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_albocinereus,G,174559,640.5583442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_apodemoides,G,208424,608.0789544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_auritus,G,1304,521.3489264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_australis,G,232742,563.3903077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_bolami,G,147741,732.6212426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_bolami,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_calabyi,G,190886,655.195698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_calabyi,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_chapmani,G,139949,818.5256486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_delicatulus,G,140038,772.9069538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_delicatulus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_delicatulus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_desertor,G,169520,664.6271649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_fieldi,G,142554,769.8141336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_fumeus,G,233321,613.4984935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_gouldii,G,90832,605.4556764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_gracilicaudatus,G,199037,581.9325201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_hermannsburgensis,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_higginsi,G,150636,838.881456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_johnsoni,G,175202,718.7428854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_nanus,G,234585,535.6887013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_novaehollandiae,G,121304,677.2118891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_novaehollandiae,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_occidentalis,G,164976,695.1504704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_oralis,G,183795,737.7701733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_patrius,G,136182,745.8370122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_pilligaensis,G,145554,675.9382635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_shortridgei,G,161436,703.307354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_shortridgei,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_shortridgei,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_argurus,G,161645,724.9052801,55686,161929,148006,119864,21739,141603,60,11742,607.0742258,531,60,11742,834.6800681,533
Zyzomys_maini,G,192248,612.3772107,60004,192603,162768,118982,21387,140369,60,11030,575.9452774,510,60,11030,760.0469912,492
Zyzomys_palatalis,G,142902,742.0429175,72919,143189,136522,115582,19923,135505,60,9688,584.560961,516,60,9688,794.4221754,514
Zyzomys_pedunculatus,G,152417,801.3606947,68181,152750,146763,120928,22011,142939,60,10909,637.5386098,557,60,10909,891.0745991,562
Zyzomys_woodwardi,G,118002,775.3801461,72330,118295,118246,108457,17814,126271,60,17302,557.0726924,491,60,11337,795.4157966,512
Zyzomys_argurus,No dedup,157717,741.4331239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_maini,No dedup,155381,727.5567154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_palatalis,No dedup,137703,762.4434471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_pedunculatus,No dedup,159137,780.1988287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_woodwardi,No dedup,121007,761.6868776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
