"node"	"delta"	"z.score"	"p.value"
192	0.015015015015015	-0.948405882902762	0.171461432845437
193	0.371428571428571	2.13931809303652	0.0162049576768618
194	0.0358662613981763	-0.767764904951858	0.221313434033737
195	0.0301204819277108	-0.817542419617518	0.206809258946035
196	0.0519951632406288	-0.628035099425815	0.264990473487224
197	0.0305084745762712	-0.814181115924407	0.207770600997932
198	0.0238095238095238	-0.872216256630789	0.19154520626422
199	0.0048780487804878	-1.0362256448686	0.150048442697022
200	0.0402144772117962	-0.730094928659784	0.232666080505754
201	0.0416666666666667	-0.717514149627331	0.236528454416123
202	0.148936170212766	0.21179567045727	0.416133223189086
203	0.0678571428571429	-0.49061772602226	0.31184842339706
204	0.0428571428571429	-0.7072006758271	0.239720889320081
205	0.0689655172413793	-0.481015526277217	0.315252731936881
206	0.213454075032342	0.770734796099335	0.220432071335095
207	0.0219690805532954	-0.888160601806084	0.187227184048359
208	0.1865864144454	0.537971708728331	0.295298290231992
209	0.0258199581297976	-0.854799224811837	0.196331153718011
210	0.0264150943396226	-0.849643370577454	0.197761695737563
211	0.0354796320630749	-0.771114397826952	0.220319563629313
212	0.224818694601128	0.86919010928404	0.192371578189432
213	0.0143964562569214	-0.953764654120983	0.170101392374861
214	0.21415270018622	0.776787207964727	0.218642162554135
215	0.0285714285714286	-0.830962361429866	0.202997446228179
216	0.0795847750865052	-0.389017518723795	0.348631593534319
217	0.0153256704980843	-0.945714575666914	0.172147093074816
218	0.024390243902439	-0.867185293801408	0.192920246336033
219	0.406732117812062	2.44516394160885	0.00723931554647087
220	0.129198966408269	0.0408059976221762	0.483725278966036
221	0.153678077203205	0.252876318604846	0.400181894928962
222	0.407151095732411	2.44879368056455	0.00716677631309369
223	0.0734312416555407	-0.442327535611834	0.329126104042893
224	0.0380622837370242	-0.748740065112458	0.227006945153251
225	0.0500333555703803	-0.645030863112702	0.259453592698504
226	0.118825100133511	-0.0490661047245401	0.480433307684255
227	0.0293663060278207	-0.824076085260315	0.204948163782637
228	0.0233793836344315	-0.875942697748831	0.190530593001056
229	0.135531135531136	0.0956635923139211	0.461893878681596
230	0.277777777777778	1.32799148741839	0.0920904595580325
231	0.0219123505976096	-0.888652071451873	0.187095048439568
232	0.622047244094488	4.31050734912284	8.14402076760321e-06
233	0.1270207852194	0.0219357213383882	0.491249615058322
234	0.2	0.654177865803327	0.256498610024923
235	0.225806451612903	0.877747362376066	0.19004041779848
236	0.155963302752294	0.272673954220489	0.392551928888284
237	0.00214822771213749	-1.05987495284551	0.144600745979345
238	0.0464310464310464	-0.676238812692936	0.249444516920633
239	0.0427226647356988	-0.708365702556163	0.239359092701702
240	0.0664652567975831	-0.502676077565127	0.307596015765308
241	0.139705882352941	0.131830751568123	0.447559081294745
242	0.0674157303370786	-0.494441823049311	0.31049709165212
243	0.00452488687782805	-1.03928519873407	0.149336058244008
244	0.0172570390554042	-0.928982515694728	0.176449073758091
245	0.0865384615384615	-0.328775521772488	0.371162683124008
246	0.0253521126760563	-0.8588523187488	0.195210999234218
247	0.254826254826255	1.12915514568421	0.12941619580986
248	0.138176638176638	0.1185824229811	0.452803095755906
249	0.0271055179090029	-0.843662011646607	0.199429150622756
250	0.0948905109489051	-0.256419061843302	0.398813635273461
251	0.0555555555555556	-0.597190288624642	0.27519017110788
