# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<130>	0.79	5436.0	0.014	93.0	0.017	115.0	0.18	1239.0	6883.0	4900.0	0.721	33102.69	0.139	6359.6	0.14	6415.04	45877.33	100	0.79/0.72	0.0118572000
<131>	0.421	3968.0	0.081	760.0	0.051	481.0	0.447	4206.0	9415.0	2368.0	0.482	5555.38	0.333	3725.9	0.185	2141.13	11422.41	100	0.421/0.48	0.0018255300
<132>	0.13	1220.0	0.037	347.0	0.043	402.0	0.791	7437.0	9406.0	2377.0	0.372	5558.86	0.356	4892.78	0.272	4036.07	14487.71	100	0.13/0.376	0.0006357760
<133>	0.509	5040.0	0.094	929.0	0.094	933.0	0.304	3009.0	9911.0	1872.0	0.475	18783.07	0.236	9398.94	0.289	11572.49	39754.5	100	0.509/0.473	0.0030758500
<134>	0.209	1907.0	0.07	635.0	0.082	752.0	0.639	5832.0	9126.0	2657.0	0.4	7894.27	0.299	5981.28	0.301	5938.55	19814.1	100	0.209/0.4	0.0009809420
<137>	0.309	3378.0	0.029	321.0	0.035	387.0	0.627	6855.0	10941.0	842.0	0.401	18707.46	0.286	13319.62	0.313	14560.25	46587.33	100	0.309/0.4	0.0023441200
<138>	0.18	1805.0	0.037	371.0	0.045	454.0	0.737	7382.0	10012.0	1771.0	0.392	17234.13	0.293	12908.72	0.315	13907.49	44050.34	100	0.18/0.393	0.0012433200
<56>	0.928	8030.0	0.006	50.0	0.006	54.0	0.06	522.0	8656.0	3127.0	0.874	71297.53	0.058	4716.79	0.068	5520.37	81534.69	100	0.928/0.874	0.0243531000
<140>	0.363	2458.0	0.174	1179.0	0.167	1133.0	0.296	2010.0	6780.0	5003.0	0.417	15338.52	0.297	10940.8	0.286	10510.32	36789.64	100	0.363/0.413	0.0023043300
<6>	0.569	5147.0	0.029	258.0	0.03	272.0	0.372	3370.0	9047.0	2736.0	0.627	11838.19	0.196	3636.06	0.177	3396.99	18871.24	100	0.569/0.64	0.0032529100
<141>	0.422	4227.0	0.037	367.0	0.039	394.0	0.502	5024.0	10012.0	1771.0	0.563	9637.4	0.258	4233.69	0.179	2971.3	16842.39	100	0.422/0.56	0.0024961400
<142>	0.097	877.0	0.028	257.0	0.067	610.0	0.807	7312.0	9056.0	2727.0	0.394	7318.55	0.29	5361.62	0.316	5674.77	18354.94	100	0.097/0.394	0.0004774530
<72>	0.268	2638.0	0.037	369.0	0.03	293.0	0.665	6548.0	9848.0	1935.0	0.443	10174.91	0.289	6664.92	0.268	6194.01	23033.84	100	0.268/0.449	0.0017265600
<144>	0.198	1956.0	0.024	239.0	0.042	412.0	0.736	7281.0	9888.0	1895.0	0.445	10189.55	0.257	5902.01	0.298	6862.95	22954.51	100	0.198/0.444	0.0015968800
<145>	0.154	1760.0	0.045	511.0	0.039	448.0	0.763	8739.0	11458.0	325.0	0.369	16731.34	0.309	14055.95	0.321	14543.67	45330.96	100	0.154/0.373	0.0012101200
<114>	0.391	4041.0	0.022	227.0	0.024	251.0	0.563	5818.0	10337.0	1446.0	0.426	19813.72	0.288	13341.33	0.286	13268.82	46423.87	100	0.391/0.426	0.0031237700
<146>	0.378	2894.0	0.168	1284.0	0.184	1410.0	0.27	2067.0	7655.0	4128.0	0.387	16752.27	0.292	12663.67	0.32	13845.6	43261.54	100	0.378/0.386	0.0025814200
<147>	0.218	1761.0	0.086	698.0	0.091	735.0	0.605	4902.0	8096.0	3687.0	0.409	6817.65	0.296	4890.13	0.294	4851.6	16559.38	100	0.218/0.414	0.0011641900
<148>	0.05	421.0	0.069	581.0	0.095	792.0	0.786	6585.0	8379.0	3404.0	0.374	6757.58	0.331	5965.93	0.295	5210.09	17933.6	100	0.05/0.37	0.0001675370
<149>	0.086	898.0	0.089	928.0	0.033	339.0	0.792	8221.0	10386.0	1397.0	0.402	9880.05	0.324	7997.36	0.274	6787.72	24665.13	100	0.086/0.399	0.0005653240
<27>	0.756	6457.0	0.002	19.0	0.002	21.0	0.239	2045.0	8542.0	3241.0	0.819	28999.16	0.093	3250.08	0.088	3103.99	35353.23	100	0.756/0.821	0.0090670200
<150>	0.154	1597.0	0.089	924.0	0.075	771.0	0.682	7051.0	10343.0	1440.0	0.337	15973.61	0.339	15999.05	0.324	15326.58	47299.24	100	0.154/0.336	0.0009372470
<139>	0.86	9776.0	0.002	18.0	0.002	19.0	0.137	1553.0	11366.0	417.0	0.781	73656.46	0.11	10269.71	0.11	10294.88	94221.05	100	0.86/0.782	0.0262471000
<151>	0.844	6637.0	0.004	28.0	0.004	35.0	0.148	1164.0	7864.0	3919.0	0.738	58051.85	0.131	10266.06	0.132	10331.82	78649.73	100	0.844/0.74	0.0237327000
<95>	0.326	3015.0	0.034	310.0	0.029	270.0	0.611	5654.0	9249.0	2534.0	0.495	11023.88	0.255	5843.15	0.25	5466.46	22333.49	100	0.326/0.499	0.0024428600
<152>	0.169	1402.0	0.057	473.0	0.083	690.0	0.69	5714.0	8279.0	3504.0	0.397	7060.55	0.3	5401.87	0.304	5351.52	17813.94	100	0.169/0.391	0.0009539430
<153>	0.155	1345.0	0.039	337.0	0.05	437.0	0.756	6552.0	8671.0	3112.0	0.414	7972.45	0.302	5837.86	0.284	5312.31	19122.62	100	0.155/0.409	0.0009855000
<15>	0.573	4108.0	0.015	108.0	0.01	72.0	0.402	2878.0	7166.0	4617.0	0.634	14790.77	0.19	4523.84	0.175	4058.94	23373.55	100	0.573/0.629	0.0053128300
<154>	0.109	1131.0	0.086	887.0	0.026	271.0	0.779	8077.0	10366.0	1417.0	0.367	8964.02	0.352	8592.22	0.281	6858.3	24414.54	100	0.109/0.37	0.0008088660
<74>	0.32	3065.0	0.04	387.0	0.019	183.0	0.62	5943.0	9578.0	2205.0	0.478	12102.74	0.284	7207.59	0.238	6059.39	25369.72	100	0.32/0.482	0.0019585500
<44>	0.92	8603.0	0.003	27.0	0.003	30.0	0.074	691.0	9351.0	2432.0	0.858	83595.4	0.07	6809.44	0.072	7056.84	97461.68	100	0.92/0.857	0.0257165000
<155>	0.587	5962.0	0.019	189.0	0.028	282.0	0.367	3730.0	10163.0	1620.0	0.531	33894.25	0.227	14469.41	0.242	15315.68	63679.34	100	0.587/0.532	0.0065851400
<52>	0.329	2448.0	0.101	754.0	0.114	847.0	0.456	3399.0	7448.0	4335.0	0.379	21788.32	0.31	17830.79	0.311	17837.46	57456.57	100	0.329/0.379	0.0028981200
<156>	0.405	4226.0	0.078	819.0	0.085	893.0	0.432	4509.0	10447.0	1336.0	0.401	23660.13	0.299	17581.8	0.3	17651.29	58893.22	100	0.405/0.401	0.0035713200
<157>	0.298	2982.0	0.044	438.0	0.04	402.0	0.618	6173.0	9995.0	1788.0	0.455	9839.42	0.271	5760.14	0.274	5867.88	21467.44	100	0.298/0.45	0.0021942000
<9>	0.759	5249.0	0.009	63.0	0.009	60.0	0.223	1543.0	6915.0	4868.0	0.772	21703.24	0.111	3077.79	0.117	3221.49	28002.52	100	0.759/0.776	0.0088489000
<159>	0.175	1669.0	0.029	273.0	0.043	408.0	0.754	7201.0	9551.0	2232.0	0.419	10037.28	0.281	6822.91	0.299	7236.34	24096.53	100	0.175/0.416	0.0014020500
<160>	0.617	6401.0	0.049	509.0	0.038	397.0	0.296	3067.0	10374.0	1409.0	0.499	33221.32	0.255	16947.0	0.245	16345.84	66514.16	100	0.617/0.501	0.0066668300
<162>	0.399	4007.0	0.03	299.0	0.026	261.0	0.545	5472.0	10039.0	1744.0	0.502	11921.18	0.253	6027.43	0.245	5808.07	23756.68	100	0.399/0.5	0.0036875300
<158>	0.263	2833.0	0.039	423.0	0.093	1003.0	0.604	6502.0	10761.0	1022.0	0.46	10514.61	0.259	5781.5	0.281	6209.29	22505.4	100	0.263/0.462	0.0017763000
<163>	0.247	2393.0	0.041	401.0	0.033	317.0	0.678	6563.0	9674.0	2109.0	0.448	11380.18	0.263	6700.84	0.29	7415.25	25496.27	100	0.247/0.452	0.0016680900
<135>	0.222	2461.0	0.083	926.0	0.068	749.0	0.627	6958.0	11094.0	689.0	0.395	9650.95	0.315	7711.79	0.29	7039.03	24401.77	100	0.222/0.4	0.0011449600
<164>	0.54	4318.0	0.045	356.0	0.061	490.0	0.354	2830.0	7994.0	3789.0	0.473	29890.09	0.265	16790.65	0.263	16624.31	63305.05	100	0.54/0.471	0.0054273900
<165>	0.555	5855.0	0.026	270.0	0.019	200.0	0.4	4219.0	10544.0	1239.0	0.604	18629.2	0.189	5660.64	0.208	6318.11	30607.95	100	0.555/0.605	0.0070371100
<16>	0.884	5343.0	0.004	24.0	0.006	38.0	0.106	639.0	6044.0	5739.0	0.923	41473.39	0.04	1746.0	0.037	1579.49	44798.88	100	0.884/0.921	0.0205132000
<166>	0.452	4839.0	0.007	79.0	0.008	84.0	0.533	5698.0	10700.0	1083.0	0.568	18944.73	0.213	7064.51	0.219	7363.6	33372.84	100	0.452/0.571	0.0040490900
<31>	0.882	7962.0	0.002	16.0	0.001	8.0	0.115	1041.0	9027.0	2756.0	0.913	54200.6	0.044	2587.95	0.043	2526.41	59314.96	100	0.882/0.914	0.0178005000
<167>	0.316	2694.0	0.057	488.0	0.065	552.0	0.562	4782.0	8516.0	3267.0	0.382	23968.38	0.308	19340.57	0.31	19510.77	62819.72	100	0.316/0.383	0.0031389700
<161>	0.405	4244.0	0.019	202.0	0.022	231.0	0.554	5804.0	10481.0	1302.0	0.419	26600.14	0.286	18099.27	0.295	18658.78	63358.19	100	0.405/0.421	0.0051513000
<168>	0.695	7308.0	0.007	75.0	0.007	69.0	0.292	3070.0	10522.0	1261.0	0.672	33296.38	0.165	8117.52	0.163	7928.97	49342.87	100	0.695/0.671	0.0124830000
<143>	0.706	7171.0	0.019	189.0	0.014	138.0	0.262	2665.0	10163.0	1620.0	0.612	30988.81	0.197	10023.76	0.191	9700.41	50712.98	100	0.706/0.616	0.0081751200
<102>	0.647	6641.0	0.004	43.0	0.004	36.0	0.346	3551.0	10271.0	1512.0	0.721	25595.36	0.139	4915.23	0.14	4980.48	35491.07	100	0.647/0.717	0.0078964600
<169>	0.172	1823.0	0.098	1035.0	0.165	1753.0	0.565	5998.0	10609.0	1174.0	0.338	9828.11	0.336	9855.6	0.326	9536.4	29220.11	100	0.172/0.342	0.0006416440
<171>	0.326	3711.0	0.141	1611.0	0.153	1746.0	0.38	4331.0	11399.0	384.0	0.354	13899.25	0.318	12397.1	0.327	12778.71	39075.06	100	0.326/0.349	0.0022034700
<120>	0.552	6042.0	0.01	111.0	0.01	110.0	0.427	4676.0	10939.0	844.0	0.6	22143.76	0.214	7955.45	0.186	6855.94	36955.15	100	0.552/0.605	0.0046843800
<172>	0.32	3571.0	0.027	299.0	0.033	370.0	0.621	6933.0	11173.0	610.0	0.442	11682.51	0.289	7570.38	0.27	7054.75	26307.64	100	0.32/0.44	0.0017947500
<123>	0.309	3437.0	0.05	554.0	0.062	685.0	0.58	6448.0	11124.0	659.0	0.434	10560.96	0.274	6602.67	0.292	6992.66	24156.29	100	0.309/0.438	0.0019406200
<173>	0.71	7913.0	0.009	102.0	0.009	103.0	0.271	3020.0	11138.0	645.0	0.64	33535.56	0.168	8656.84	0.192	9953.31	52145.71	100	0.71/0.636	0.0140088000
<101>	0.793	6955.0	0.028	247.0	0.025	221.0	0.154	1350.0	8773.0	3010.0	0.664	31674.51	0.175	8197.1	0.161	7456.22	47327.83	100	0.793/0.664	0.0128722000
<174>	0.523	6017.0	0.014	165.0	0.013	153.0	0.449	5167.0	11502.0	281.0	0.556	18536.53	0.214	7175.15	0.23	7743.66	33455.34	100	0.523/0.552	0.0049400500
<124>	0.706	8008.0	0.004	46.0	0.005	57.0	0.285	3235.0	11346.0	437.0	0.713	33051.65	0.146	6693.49	0.142	6549.69	46294.83	100	0.706/0.702	0.0087618700
<176>	0.616	7027.0	0.006	67.0	0.006	64.0	0.373	4255.0	11413.0	370.0	0.613	30162.99	0.189	9268.71	0.198	9802.02	49233.72	100	0.616/0.608	0.0081292700
<109>	0.572	6065.0	0.013	136.0	0.012	131.0	0.403	4270.0	10602.0	1181.0	0.57	24756.99	0.224	9742.16	0.206	8951.24	43450.39	100	0.572/0.571	0.0054704300
<177>	0.191	1981.0	0.078	808.0	0.189	1962.0	0.541	5611.0	10362.0	1421.0	0.324	12947.56	0.299	11979.61	0.378	15107.56	40034.73	100	0.191/0.329	0.0010327300
<178>	0.282	2940.0	0.02	213.0	0.015	160.0	0.683	7127.0	10440.0	1343.0	0.397	16714.37	0.275	11578.43	0.327	13710.33	42003.13	100	0.282/0.394	0.0020256100
<136>	0.139	1460.0	0.045	477.0	0.038	394.0	0.778	8172.0	10503.0	1280.0	0.406	15218.75	0.28	10515.78	0.314	11880.29	37614.82	100	0.139/0.411	0.0004756860
<179>	0.327	3722.0	0.023	256.0	0.025	285.0	0.625	7109.0	11372.0	411.0	0.419	17200.33	0.275	11360.79	0.306	12537.15	41098.27	100	0.327/0.418	0.0019859000
<126>	0.754	6704.0	0.006	53.0	0.009	78.0	0.231	2055.0	8890.0	2893.0	0.658	34849.56	0.162	8590.13	0.18	9523.89	52963.58	100	0.754/0.656	0.0117691000
<180>	0.46	3827.0	0.045	376.0	0.062	518.0	0.432	3590.0	8311.0	3472.0	0.449	19383.29	0.272	11730.08	0.279	12054.55	43167.92	100	0.46/0.451	0.0040065300
<181>	0.608	4257.0	0.035	243.0	0.052	361.0	0.306	2146.0	7007.0	4776.0	0.521	24999.41	0.224	10753.73	0.255	12266.43	48019.57	100	0.608/0.521	0.0074805200
<182>	0.637	5646.0	0.007	62.0	0.006	54.0	0.35	3098.0	8860.0	2923.0	0.538	36037.08	0.23	15398.59	0.232	15533.16	66968.83	100	0.637/0.54	0.0110025000
<170>	0.209	2453.0	0.078	915.0	0.119	1389.0	0.594	6953.0	11710.0	73.0	0.351	22325.33	0.323	20541.23	0.327	20785.6	63652.16	100	0.209/0.353	0.0017899200
<175>	0.785	8814.0	0.004	43.0	0.004	41.0	0.207	2326.0	11224.0	559.0	0.666	50520.54	0.167	12628.34	0.168	12625.31	75774.19	100	0.785/0.665	0.0228000000
<183>	0.383	4434.0	0.066	770.0	0.061	710.0	0.49	5678.0	11592.0	191.0	0.392	26612.12	0.303	20518.72	0.305	20675.82	67806.66	100	0.383/0.393	0.0037136100
<94>	0.835	6652.0	0.021	169.0	0.021	164.0	0.123	979.0	7964.0	3819.0	0.642	43376.13	0.182	12306.29	0.175	11824.75	67507.17	100	0.835/0.643	0.0181659000
<184>	0.736	6111.0	0.017	143.0	0.018	152.0	0.228	1893.0	8299.0	3484.0	0.526	35822.95	0.232	15842.6	0.242	16536.4	68201.95	100	0.736/0.526	0.0169310000
<1>	0.843	3845.0	0.027	125.0	0.032	144.0	0.098	445.0	4559.0	7224.0	0.634	49606.48	0.18	14052.6	0.187	14616.48	78275.56	100	0.843/0.634	0.0148384000
<185>	0.843	3845.0	0.027	125.0	0.032	144.0	0.098	445.0	4559.0	7224.0	0.633	49400.33	0.18	14043.42	0.188	14667.0	78110.75	100	0.843/0.633	0.0160898000
