# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<39>	0.477	2426.0	0.204	1041.0	0.157	797.0	0.162	827.0	5091.0	6692.0	0.532	4612.96	0.278	2383.76	0.19	1653.17	8649.89	100	0.477/0.528	0.0016078400
<40>	0.653	4315.0	0.06	399.0	0.061	403.0	0.226	1492.0	6609.0	5174.0	0.603	19303.86	0.199	6406.64	0.198	6403.1	32113.6	100	0.653/0.603	0.0054992300
<42>	0.269	2360.0	0.118	1036.0	0.163	1429.0	0.451	3957.0	8782.0	3001.0	0.391	16210.57	0.299	12442.57	0.31	12839.71	41492.85	100	0.269/0.392	0.0014524000
<43>	0.901	6202.0	0.024	164.0	0.01	69.0	0.065	446.0	6881.0	4902.0	0.907	43743.07	0.058	2741.68	0.035	1666.38	48151.13	100	0.901/0.907	0.0159811000
<45>	0.833	5407.0	0.041	266.0	0.036	233.0	0.09	582.0	6488.0	5295.0	0.779	25646.52	0.114	3725.52	0.107	3522.62	32894.66	100	0.833/0.777	0.0085917100
<46>	0.736	5720.0	0.07	545.0	0.067	517.0	0.127	990.0	7772.0	4011.0	0.651	21304.03	0.174	5712.64	0.176	5771.15	32787.82	100	0.736/0.651	0.0048340900
<48>	0.603	5141.0	0.085	726.0	0.071	608.0	0.24	2048.0	8523.0	3260.0	0.558	25693.66	0.22	10116.72	0.222	10265.92	46076.3	100	0.603/0.558	0.0043600500
<50>	0.687	4837.0	0.084	593.0	0.094	663.0	0.135	951.0	7044.0	4739.0	0.581	18082.12	0.208	6511.27	0.211	6541.37	31134.76	100	0.687/0.58	0.0049633000
<51>	0.924	5942.0	0.007	48.0	0.012	79.0	0.056	360.0	6429.0	5354.0	0.94	51412.78	0.028	1502.39	0.032	1714.23	54629.4	100	0.924/0.942	0.0253245000
<53>	0.69	4926.0	0.099	710.0	0.076	542.0	0.135	964.0	7142.0	4641.0	0.6	19638.33	0.201	6558.64	0.2	6535.33	32732.3	100	0.69/0.6	0.0052531700
<55>	0.759	6260.0	0.073	602.0	0.063	517.0	0.105	866.0	8245.0	3538.0	0.634	25138.39	0.178	7035.17	0.188	7444.09	39617.65	100	0.759/0.633	0.0063043500
<57>	0.617	4725.0	0.116	891.0	0.109	836.0	0.157	1202.0	7654.0	4129.0	0.575	15594.77	0.217	5915.31	0.209	5686.96	27197.04	100	0.617/0.575	0.0029198600
<58>	0.626	3755.0	0.068	409.0	0.069	416.0	0.236	1415.0	5995.0	5788.0	0.625	10637.31	0.204	3484.02	0.171	2877.98	16999.31	100	0.626/0.626	0.0031889400
<59>	0.515	4263.0	0.118	974.0	0.123	1019.0	0.244	2018.0	8274.0	3509.0	0.648	9235.07	0.181	2522.25	0.171	2387.22	14144.54	100	0.515/0.653	0.0022554600
<60>	0.617	5884.0	0.117	1112.0	0.063	602.0	0.203	1939.0	9537.0	2246.0	0.599	9361.58	0.14	2176.11	0.261	4137.34	15675.03	100	0.617/0.599	0.0021528700
<2>	0.939	7859.0	0.014	120.0	0.007	55.0	0.041	340.0	8374.0	3409.0	0.925	78803.59	0.04	3347.61	0.035	2953.44	85104.64	100	0.939/0.926	0.0259114000
<61>	0.727	7443.0	0.077	793.0	0.083	852.0	0.113	1155.0	10243.0	1540.0	0.516	32358.9	0.24	15079.49	0.244	15296.22	62734.61	100	0.727/0.517	0.0071522100
<62>	0.209	1517.0	0.125	912.0	0.193	1407.0	0.473	3439.0	7275.0	4508.0	0.38	7270.51	0.239	4593.69	0.38	7431.04	19295.24	100	0.209/0.378	0.0008601310
<63>	0.181	846.0	0.164	765.0	0.174	810.0	0.481	2241.0	4662.0	7121.0	0.32	2837.6	0.313	2703.38	0.368	3307.08	8848.06	100	0.181/0.314	0.0003833390
<64>	0.178	1647.0	0.045	419.0	0.036	330.0	0.741	6868.0	9264.0	2519.0	0.448	6733.09	0.23	3512.5	0.322	4826.37	15071.96	100	0.178/0.448	0.0008982040
<67>	0.77	6381.0	0.037	309.0	0.043	353.0	0.15	1239.0	8282.0	3501.0	0.698	29704.74	0.145	6211.81	0.157	6712.89	42629.44	100	0.77/0.694	0.0082721100
<19>	0.303	2206.0	0.109	791.0	0.091	665.0	0.498	3627.0	7289.0	4494.0	0.383	7944.85	0.314	6518.74	0.303	6320.25	20783.84	100	0.303/0.382	0.0012914000
<68>	0.586	5038.0	0.02	173.0	0.021	182.0	0.372	3200.0	8593.0	3190.0	0.649	16062.58	0.169	4160.44	0.181	4463.29	24686.31	100	0.586/0.651	0.0041725100
<69>	0.185	1299.0	0.151	1061.0	0.143	1005.0	0.52	3643.0	7008.0	4775.0	0.315	7309.72	0.306	7069.24	0.38	8971.94	23350.9	100	0.185/0.313	0.0004795950
<70>	0.653	2712.0	0.13	541.0	0.085	354.0	0.132	549.0	4156.0	7627.0	0.55	10685.08	0.225	4326.66	0.224	4370.55	19382.29	100	0.653/0.55	0.0061222700
<23>	0.365	2732.0	0.136	1018.0	0.181	1356.0	0.318	2377.0	7483.0	4300.0	0.434	8046.68	0.266	4897.59	0.3	5593.64	18537.91	100	0.365/0.436	0.0014610100
<71>	0.472	4295.0	0.093	843.0	0.077	699.0	0.359	3272.0	9109.0	2674.0	0.537	11260.66	0.24	5030.28	0.223	4684.86	20975.8	100	0.472/0.534	0.0023194200
<73>	0.383	3138.0	0.093	761.0	0.113	925.0	0.411	3363.0	8187.0	3596.0	0.483	6947.12	0.239	3446.39	0.278	3970.85	14364.36	100	0.383/0.489	0.0013702400
<75>	0.225	1415.0	0.199	1255.0	0.161	1012.0	0.415	2612.0	6294.0	5489.0	0.371	4364.08	0.318	3749.19	0.31	3710.1	11823.37	100	0.225/0.37	0.0003422390
<76>	0.304	2618.0	0.21	1813.0	0.173	1488.0	0.313	2700.0	8619.0	3164.0	0.39	6770.44	0.334	5816.45	0.276	4800.89	17387.78	100	0.304/0.395	0.0009200100
<78>	0.442	2705.0	0.072	440.0	0.064	390.0	0.422	2584.0	6119.0	5664.0	0.478	4964.42	0.26	2728.78	0.262	2748.61	10441.81	100	0.442/0.475	0.0022630700
<36>	0.344	846.0	0.141	348.0	0.085	209.0	0.43	1059.0	2462.0	9321.0	0.543	3348.53	0.238	1463.53	0.219	1345.56	6157.62	100	0.344/0.541	0.0021016700
<79>	0.187	1849.0	0.074	738.0	0.097	959.0	0.642	6361.0	9907.0	1876.0	0.401	9936.88	0.296	7337.76	0.303	7468.93	24743.57	100	0.187/0.401	0.0006918480
<80>	0.374	3796.0	0.034	349.0	0.038	390.0	0.553	5614.0	10149.0	1634.0	0.46	12418.59	0.25	6842.04	0.29	7958.47	27219.1	100	0.374/0.465	0.0018755300
<81>	0.706	6178.0	0.052	451.0	0.071	621.0	0.171	1495.0	8745.0	3038.0	0.754	15232.61	0.112	2237.78	0.134	2466.09	19936.48	100	0.706/0.762	0.0046920900
<82>	0.38	3049.0	0.135	1079.0	0.132	1055.0	0.353	2833.0	8016.0	3767.0	0.447	13074.8	0.271	7860.61	0.282	8281.19	29216.6	100	0.38/0.446	0.0017562000
<41>	0.657	5699.0	0.044	378.0	0.045	393.0	0.254	2206.0	8676.0	3107.0	0.596	23653.83	0.203	8132.24	0.201	8052.27	39838.34	100	0.657/0.601	0.0061233500
<83>	0.222	1712.0	0.053	410.0	0.074	574.0	0.651	5032.0	7728.0	4055.0	0.386	12562.75	0.316	10362.4	0.298	9796.62	32721.77	100	0.222/0.389	0.0011718700
<84>	0.407	3053.0	0.197	1478.0	0.218	1636.0	0.179	1343.0	7510.0	4273.0	0.387	9328.04	0.286	6950.54	0.327	7924.99	24203.57	100	0.407/0.385	0.0013413200
<85>	0.694	5821.0	0.04	339.0	0.05	420.0	0.215	1803.0	8383.0	3400.0	0.596	20515.74	0.19	6510.66	0.213	7253.33	34279.73	100	0.694/0.6	0.0060181800
<86>	0.654	5530.0	0.056	475.0	0.05	424.0	0.24	2031.0	8460.0	3323.0	0.584	19870.78	0.207	7065.49	0.209	7119.48	34055.75	100	0.654/0.582	0.0045825000
<87>	0.409	3599.0	0.083	730.0	0.053	466.0	0.455	4010.0	8805.0	2978.0	0.44	22047.42	0.272	13676.82	0.288	14487.53	50211.77	100	0.409/0.439	0.0029572000
<88>	0.702	6599.0	0.03	278.0	0.033	309.0	0.236	2219.0	9405.0	2378.0	0.591	26545.7	0.216	9698.94	0.192	8617.16	44861.8	100	0.702/0.591	0.0077109400
<89>	0.624	5350.0	0.064	549.0	0.061	519.0	0.251	2151.0	8569.0	3214.0	0.546	21967.37	0.232	9335.2	0.221	8914.59	40217.16	100	0.624/0.546	0.0041637100
<92>	0.378	3235.0	0.156	1338.0	0.205	1755.0	0.262	2241.0	8569.0	3214.0	0.463	8523.73	0.255	4674.29	0.283	5189.51	18387.53	100	0.378/0.457	0.0012707500
<93>	0.616	6297.0	0.047	484.0	0.048	490.0	0.288	2944.0	10215.0	1568.0	0.637	14270.49	0.233	5218.84	0.131	2923.69	22413.02	100	0.616/0.638	0.0038384500
<96>	0.236	1052.0	0.047	211.0	0.073	326.0	0.644	2878.0	4467.0	7316.0	0.406	2648.53	0.234	1510.13	0.36	2371.01	6529.67	100	0.236/0.401	0.0009438560
<8>	0.168	464.0	0.093	257.0	0.096	265.0	0.644	1784.0	2770.0	9013.0	0.408	2237.52	0.281	1513.38	0.311	1666.56	5417.46	100	0.168/0.42	0.0007559570
<97>	0.093	937.0	0.078	787.0	0.071	712.0	0.757	7599.0	10035.0	1748.0	0.341	4997.71	0.336	4882.73	0.323	4731.98	14612.42	100	0.093/0.345	0.0003354650
<65>	0.416	4057.0	0.016	155.0	0.012	118.0	0.556	5413.0	9743.0	2040.0	0.579	8857.6	0.226	3420.58	0.195	2960.54	15238.72	100	0.416/0.573	0.0024638800
<98>	0.431	3850.0	0.148	1322.0	0.161	1440.0	0.259	2317.0	8929.0	2854.0	0.416	13971.87	0.269	9082.81	0.314	10662.15	33716.83	100	0.431/0.416	0.0020927700
<99>	0.257	2525.0	0.055	541.0	0.057	560.0	0.631	6208.0	9834.0	1949.0	0.447	10268.65	0.261	5931.22	0.292	6650.78	22850.65	100	0.257/0.445	0.0011755900
<100>	0.17	1466.0	0.092	799.0	0.07	605.0	0.668	5773.0	8643.0	3140.0	0.331	7557.67	0.298	6836.9	0.372	8669.62	23064.19	100	0.17/0.335	0.0004800390
<103>	0.506	4421.0	0.037	321.0	0.041	361.0	0.416	3638.0	8741.0	3042.0	0.634	13082.0	0.192	3939.17	0.174	3559.27	20580.44	100	0.506/0.634	0.0029301300
<104>	0.645	4062.0	0.03	188.0	0.017	105.0	0.308	1938.0	6293.0	5490.0	0.695	14804.61	0.164	3460.39	0.141	3018.05	21283.05	100	0.645/0.69	0.0054605000
<77>	0.34	3461.0	0.098	1003.0	0.093	949.0	0.468	4770.0	10183.0	1600.0	0.431	9442.01	0.288	6273.32	0.281	6189.72	21905.05	100	0.34/0.437	0.0017027100
