# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<38>	0.901	6202.0	0.024	164.0	0.01	70.0	0.065	445.0	6881.0	4815.0	0.907	43980.01	0.058	2762.03	0.035	1686.46	48428.5	100	0.901	0.0159811000
<41>	0.738	5736.0	0.071	555.0	0.068	532.0	0.122	948.0	7771.0	3925.0	0.652	20997.94	0.173	5589.81	0.175	5648.91	32236.66	100	0.736	0.0048340900
<43>	0.604	5148.0	0.085	728.0	0.072	610.0	0.239	2037.0	8523.0	3173.0	0.557	25824.37	0.22	10169.46	0.223	10352.22	46346.05	100	0.603	0.0043600500
<45>	0.673	3616.0	0.087	469.0	0.104	558.0	0.136	728.0	5371.0	6325.0	0.581	15904.38	0.208	5733.08	0.211	5770.18	27407.64	100	0.687	0.0049633000
<47>	0.691	4934.0	0.101	720.0	0.077	550.0	0.131	936.0	7140.0	4556.0	0.602	19481.27	0.199	6438.36	0.199	6444.16	32363.79	100	0.69	0.0052531700
<48>	0.76	6265.0	0.074	610.0	0.063	523.0	0.102	844.0	8242.0	3454.0	0.632	25741.21	0.178	7232.24	0.189	7689.72	40663.17	100	0.759	0.0063043500
<50>	0.622	4750.0	0.121	925.0	0.115	875.0	0.142	1086.0	7636.0	4060.0	0.571	15369.94	0.219	5917.67	0.21	5677.35	26964.96	100	0.617	0.0029198600
<2>	0.939	7859.0	0.014	120.0	0.007	55.0	0.041	340.0	8374.0	3322.0	0.926	79775.09	0.039	3371.44	0.035	2990.27	86136.8	100	0.939	0.0259114000
<51>	0.727	7442.0	0.078	794.0	0.083	851.0	0.113	1153.0	10240.0	1456.0	0.515	32094.97	0.241	15034.95	0.244	15176.53	62306.45	100	0.727	0.0071522100
<53>	0.182	848.0	0.164	766.0	0.174	812.0	0.48	2236.0	4662.0	7034.0	0.317	2808.53	0.315	2715.69	0.368	3298.35	8822.57	100	0.181	0.0003833390
<54>	0.225	2233.0	0.037	366.0	0.041	409.0	0.698	6938.0	9946.0	1750.0	0.442	6459.79	0.251	3660.37	0.306	4483.62	14603.78	100	0.178	0.001233669
<55>	0.431	4174.0	0.025	245.0	0.022	215.0	0.521	5046.0	9680.0	2016.0	0.574	9100.81	0.218	3459.76	0.208	3266.89	15827.46	100	0.416	0.0024638800
<57>	0.77	6380.0	0.037	309.0	0.043	353.0	0.15	1239.0	8281.0	3415.0	0.697	29004.76	0.145	6091.31	0.158	6606.94	41703.01	100	0.77	0.0082721100
<19>	0.303	2206.0	0.109	791.0	0.091	665.0	0.498	3627.0	7289.0	4407.0	0.383	7900.54	0.314	6510.13	0.303	6282.81	20693.48	100	0.303	0.0012914000
<58>	0.586	5039.0	0.02	173.0	0.021	182.0	0.372	3199.0	8593.0	3103.0	0.651	16228.42	0.169	4199.25	0.18	4463.93	24891.6	100	0.586	0.0041725100
<59>	0.185	1299.0	0.151	1061.0	0.143	1005.0	0.52	3643.0	7008.0	4688.0	0.315	7207.26	0.304	6932.12	0.381	8871.62	23011.0	100	0.185	0.0004795950
<60>	0.653	2712.0	0.13	541.0	0.085	353.0	0.132	548.0	4154.0	7542.0	0.55	10475.79	0.228	4291.06	0.221	4227.7	18994.55	100	0.653	0.0061222700
<63>	0.384	3145.0	0.093	765.0	0.113	929.0	0.409	3348.0	8187.0	3509.0	0.487	7099.57	0.239	3493.49	0.275	3998.68	14591.74	100	0.383	0.0013702400
<65>	0.227	1428.0	0.201	1264.0	0.163	1027.0	0.409	2574.0	6293.0	5403.0	0.373	4295.54	0.319	3701.3	0.308	3619.09	11615.93	100	0.225	0.0003422390
<67>	0.443	2161.0	0.09	440.0	0.077	376.0	0.389	1896.0	4873.0	6823.0	0.469	5461.92	0.264	3084.7	0.266	3120.06	11666.68	100	0.442	0.0022630700
<68>	0.187	1851.0	0.075	744.0	0.098	966.0	0.641	6346.0	9907.0	1789.0	0.401	9494.69	0.296	7012.65	0.303	7134.56	23641.9	100	0.187	0.0006918480
<69>	0.375	3805.0	0.035	355.0	0.039	396.0	0.551	5593.0	10149.0	1547.0	0.453	12352.48	0.255	6999.98	0.292	8078.73	27431.19	100	0.374	0.0018755300
<71>	0.381	3050.0	0.135	1080.0	0.132	1056.0	0.353	2829.0	8015.0	3681.0	0.447	13110.2	0.27	7894.56	0.282	8296.0	29300.76	100	0.38	0.0017562000
<36>	0.657	5700.0	0.044	379.0	0.045	392.0	0.254	2204.0	8675.0	3021.0	0.595	24704.75	0.202	8463.57	0.203	8477.01	41645.33	100	0.657	0.0061233500
<72>	0.222	1712.0	0.053	412.0	0.075	576.0	0.651	5027.0	7727.0	3969.0	0.386	12870.9	0.315	10588.34	0.299	10080.99	33540.23	100	0.222	0.0011718700
<73>	0.407	3053.0	0.197	1478.0	0.218	1636.0	0.179	1343.0	7510.0	4186.0	0.386	9573.63	0.286	7141.12	0.328	8154.4	24869.15	100	0.407	0.0013413200
<40>	0.704	4770.0	0.043	293.0	0.048	328.0	0.205	1386.0	6777.0	4919.0	0.595	19128.6	0.192	6171.34	0.213	6823.74	32123.68	100	0.694	0.0060181800
<74>	0.659	5340.0	0.058	467.0	0.051	414.0	0.232	1884.0	8105.0	3591.0	0.584	19495.15	0.204	6806.71	0.213	7151.39	33453.25	100	0.654	0.0045825000
<75>	0.409	3604.0	0.083	734.0	0.053	471.0	0.454	3996.0	8805.0	2891.0	0.442	21231.38	0.272	13100.84	0.287	13817.74	48149.96	100	0.409	0.0029572000
<76>	0.69	4773.0	0.032	223.0	0.033	226.0	0.245	1694.0	6916.0	4780.0	0.586	22394.91	0.221	8408.84	0.193	7351.59	38155.34	100	0.702	0.0077109400
<77>	0.629	5388.0	0.066	566.0	0.063	539.0	0.242	2072.0	8565.0	3131.0	0.545	21628.77	0.233	9264.75	0.222	8818.22	39711.74	100	0.624	0.0041637100
<79>	0.596	5160.0	0.123	1069.0	0.124	1071.0	0.157	1362.0	8662.0	3034.0	0.543	18463.11	0.249	8401.49	0.208	7074.8	33939.4	100	0.584	0.0032585600
<81>	0.236	1055.0	0.047	211.0	0.074	329.0	0.643	2871.0	4466.0	7230.0	0.405	2650.62	0.231	1496.83	0.364	2405.18	6552.63	100	0.236	0.0009438560
<8>	0.169	467.0	0.093	258.0	0.096	266.0	0.642	1779.0	2770.0	8926.0	0.422	2343.74	0.275	1488.24	0.303	1639.0	5470.98	100	0.168	0.0007559570
<82>	0.192	2043.0	0.041	436.0	0.036	378.0	0.731	7758.0	10615.0	1081.0	0.463	6071.65	0.273	3745.92	0.264	3608.77	13426.34	100	0.16	0.0010140800
<56>	0.314	1224.0	0.029	112.0	0.008	30.0	0.65	2532.0	3898.0	7798.0	0.443	3685.95	0.361	3015.37	0.197	1624.18	8325.5	100	0.311	0.0029073500
<83>	0.431	3849.0	0.148	1323.0	0.161	1440.0	0.259	2316.0	8928.0	2768.0	0.413	14370.86	0.267	9376.58	0.319	11217.83	34965.27	100	0.431	0.0020927700
<84>	0.257	2525.0	0.055	541.0	0.057	562.0	0.631	6205.0	9833.0	1863.0	0.45	10365.78	0.258	5855.42	0.292	6648.36	22869.56	100	0.257	0.0011755900
<85>	0.17	1467.0	0.092	799.0	0.07	605.0	0.668	5772.0	8643.0	3053.0	0.334	7475.18	0.295	6648.0	0.371	8483.69	22606.87	100	0.17	0.0004800390
<87>	0.508	4437.0	0.037	324.0	0.042	363.0	0.414	3617.0	8741.0	2955.0	0.634	13032.97	0.194	3963.56	0.173	3544.87	20541.4	100	0.506	0.0029301300
<88>	0.652	4105.0	0.035	218.0	0.019	120.0	0.294	1849.0	6292.0	5404.0	0.695	14781.14	0.165	3473.54	0.14	2996.79	21251.47	100	0.645	0.0054605000
<66>	0.353	3395.0	0.104	995.0	0.101	971.0	0.442	4252.0	9613.0	2083.0	0.439	10700.53	0.279	6849.49	0.282	6951.5	24501.52	100	0.34	0.0017027100
<89>	0.542	2764.0	0.026	132.0	0.015	79.0	0.416	2123.0	5098.0	6598.0	0.642	10092.04	0.177	2779.24	0.181	2869.06	15740.34	100	0.523	0.0047793200
<90>	0.249	2729.0	0.071	778.0	0.09	984.0	0.59	6475.0	10966.0	730.0	0.43	9024.06	0.299	6457.56	0.271	5808.56	21290.18	100	0.247	0.0010257300
<70>	0.713	6920.0	0.024	237.0	0.017	162.0	0.246	2388.0	9707.0	1989.0	0.716	20068.06	0.164	4409.22	0.12	3354.03	27831.31	100	0.702	0.0060782200
