# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<15>	0.575	4123.0	0.016	114.0	0.01	73.0	0.399	2856.0	7166.0	4530.0	0.629	15632.02	0.197	4957.86	0.174	4310.31	24900.19	100	0.573	0.0053128300
<130>	0.088	917.0	0.091	943.0	0.034	348.0	0.787	8175.0	10383.0	1313.0	0.398	9827.78	0.327	8051.04	0.276	6818.81	24697.63	100	0.086	0.0005653240
<26>	0.759	6478.0	0.002	19.0	0.003	22.0	0.237	2021.0	8540.0	3156.0	0.818	27388.95	0.094	3114.57	0.088	2920.84	33424.36	100	0.756	0.0090670200
<131>	0.156	1606.0	0.092	949.0	0.076	781.0	0.676	6973.0	10309.0	1387.0	0.339	15523.25	0.34	15542.67	0.321	14723.71	45789.63	100	0.154	0.0009372470
<46>	0.33	2460.0	0.104	774.0	0.116	862.0	0.45	3351.0	7447.0	4249.0	0.381	21556.5	0.31	17537.16	0.309	17504.31	56597.97	100	0.329	0.0028981200
<132>	0.41	4279.0	0.079	827.0	0.088	914.0	0.423	4420.0	10440.0	1256.0	0.403	24403.23	0.297	17953.24	0.3	18131.84	60488.31	100	0.405	0.0035713200
<52>	0.401	3639.0	0.039	353.0	0.038	349.0	0.522	4742.0	9083.0	2613.0	0.521	11592.62	0.249	5662.51	0.23	5071.94	22327.07	100	0.326	0.0024428600
<133>	0.18	1481.0	0.063	514.0	0.095	782.0	0.662	5441.0	8218.0	3478.0	0.38	6745.02	0.307	5467.42	0.313	5469.24	17681.68	100	0.169	0.0009539430
<135>	0.113	1169.0	0.088	916.0	0.028	289.0	0.771	7989.0	10363.0	1333.0	0.367	9173.23	0.352	8774.99	0.281	7008.55	24956.77	100	0.109	0.0008088660
<64>	0.322	3087.0	0.043	409.0	0.021	199.0	0.614	5881.0	9576.0	2120.0	0.481	11918.19	0.283	7039.64	0.236	5890.29	24848.12	100	0.32	0.0019585500
<39>	0.921	8613.0	0.003	31.0	0.004	34.0	0.072	672.0	9350.0	2346.0	0.856	83412.83	0.071	6865.33	0.073	7135.68	97413.84	100	0.92	0.0257165000
<136>	0.6	6097.0	0.022	219.0	0.029	299.0	0.349	3548.0	10163.0	1533.0	0.532	33405.38	0.227	14265.25	0.241	15081.53	62752.16	100	0.587	0.0065851400
<138>	0.308	3047.0	0.052	515.0	0.046	453.0	0.595	5887.0	9902.0	1794.0	0.464	10076.24	0.279	6008.62	0.257	5524.4	21609.26	100	0.298	0.0021942000
<9>	0.761	5265.0	0.01	66.0	0.009	63.0	0.22	1521.0	6915.0	4781.0	0.771	21001.45	0.112	3002.42	0.117	3109.46	27113.33	100	0.759	0.0088489000
<139>	0.184	1758.0	0.032	309.0	0.046	437.0	0.738	7046.0	9550.0	2146.0	0.41	10204.7	0.285	7164.42	0.305	7649.66	25018.78	100	0.175	0.0014020500
<140>	0.71	5888.0	0.018	152.0	0.014	114.0	0.258	2142.0	8296.0	3400.0	0.583	41782.1	0.208	14867.76	0.21	15016.06	71665.92	100	0.617	0.01209422
<141>	0.405	4059.0	0.032	320.0	0.027	274.0	0.536	5380.0	10033.0	1663.0	0.502	11903.75	0.251	5962.18	0.247	5822.71	23688.64	100	0.399	0.0036875300
<134>	0.266	2858.0	0.04	431.0	0.094	1011.0	0.6	6456.0	10756.0	940.0	0.453	9997.3	0.266	5725.97	0.282	6086.89	21810.16	100	0.263	0.0017763000
<142>	0.279	2676.0	0.059	569.0	0.053	512.0	0.608	5836.0	9593.0	2103.0	0.443	10475.24	0.265	6301.4	0.292	6984.27	23760.91	100	0.247	0.0016680900
<104>	0.5	4631.0	0.034	318.0	0.031	286.0	0.434	4022.0	9257.0	2439.0	0.59	14720.5	0.198	4937.03	0.212	5256.22	24913.75	100	0.433	0.00376654
<143>	0.334	2843.0	0.063	532.0	0.069	589.0	0.534	4545.0	8509.0	3187.0	0.382	23909.46	0.309	19389.39	0.309	19386.86	62685.71	100	0.316	0.0031389700
<137>	0.412	4312.0	0.021	224.0	0.024	248.0	0.543	5692.0	10476.0	1220.0	0.421	26523.47	0.286	18020.17	0.293	18495.23	63038.87	100	0.405	0.0051513000
<144>	0.557	5873.0	0.026	273.0	0.02	206.0	0.397	4185.0	10537.0	1159.0	0.598	18267.94	0.193	5639.46	0.21	6257.97	30165.37	100	0.555	0.0070371100
<16>	0.884	5344.0	0.004	24.0	0.007	40.0	0.105	635.0	6043.0	5653.0	0.922	42243.28	0.041	1811.07	0.038	1652.81	45707.16	100	0.884	0.0205132000
<145>	0.479	4645.0	0.011	103.0	0.016	151.0	0.494	4792.0	9691.0	2005.0	0.575	18872.07	0.207	6770.78	0.218	7189.16	32832.01	100	0.452	0.0040490900
<147>	0.697	7329.0	0.007	76.0	0.007	69.0	0.29	3047.0	10521.0	1175.0	0.681	34309.16	0.162	8175.89	0.157	7881.78	50366.83	100	0.695	0.0124830000
<124>	0.706	7168.0	0.019	190.0	0.014	141.0	0.262	2661.0	10160.0	1536.0	0.607	34950.0	0.201	11617.34	0.192	11099.02	57666.36	100	0.706	0.0081751200
<61>	0.678	6186.0	0.006	54.0	0.005	50.0	0.31	2831.0	9121.0	2575.0	0.72	24885.76	0.137	4703.56	0.144	4949.3	34538.62	100	0.647	0.0078964600
<148>	0.182	1750.0	0.103	987.0	0.176	1687.0	0.539	5166.0	9590.0	2106.0	0.334	9118.57	0.338	9343.83	0.328	9037.12	27499.52	100	0.172	0.0006416440
<149>	0.326	3716.0	0.142	1612.0	0.153	1748.0	0.379	4316.0	11392.0	304.0	0.355	13622.16	0.318	12099.27	0.327	12437.5	38158.93	100	0.326	0.0022034700
<102>	0.553	6044.0	0.01	113.0	0.01	110.0	0.427	4668.0	10935.0	761.0	0.606	21605.2	0.208	7409.36	0.186	6625.62	35640.18	100	0.552	0.0046843800
<150>	0.334	3632.0	0.031	340.0	0.037	401.0	0.598	6512.0	10885.0	811.0	0.441	11791.36	0.29	7746.02	0.269	7185.91	26723.29	100	0.32	0.0017947500
<105>	0.321	3525.0	0.054	592.0	0.066	720.0	0.56	6150.0	10987.0	709.0	0.437	11118.18	0.274	6946.68	0.289	7301.13	25365.99	100	0.309	0.0019406200
<151>	0.711	7921.0	0.009	103.0	0.009	103.0	0.27	3006.0	11133.0	563.0	0.632	33318.13	0.177	8763.47	0.191	9880.34	51961.94	100	0.71	0.0140088000
<86>	0.793	6956.0	0.028	249.0	0.025	222.0	0.153	1343.0	8770.0	2926.0	0.661	30876.08	0.174	7972.35	0.166	7374.09	46222.52	100	0.793	0.0128722000
<152>	0.532	6099.0	0.016	181.0	0.015	172.0	0.437	5012.0	11464.0	232.0	0.558	20408.83	0.215	7861.01	0.227	8306.62	36576.46	100	0.523	0.0049400500
<106>	0.711	7989.0	0.004	45.0	0.005	59.0	0.28	3140.0	11233.0	463.0	0.708	29586.76	0.147	5938.33	0.145	5948.27	41473.36	100	0.706	0.0087618700
<154>	0.622	7096.0	0.006	67.0	0.006	65.0	0.366	4178.0	11406.0	290.0	0.61	30088.41	0.191	9437.87	0.199	9871.04	49397.32	100	0.616	0.0081292700
<91>	0.572	6068.0	0.013	139.0	0.013	135.0	0.402	4259.0	10601.0	1095.0	0.567	24867.11	0.224	9811.98	0.209	9164.81	43843.9	100	0.572	0.0054704300
<155>	0.192	1986.0	0.078	812.0	0.19	1963.0	0.54	5595.0	10356.0	1340.0	0.328	13075.27	0.3	12079.58	0.372	14927.64	40082.49	100	0.191	0.0010327300
<156>	0.282	2947.0	0.02	212.0	0.015	160.0	0.682	7113.0	10432.0	1264.0	0.396	16548.52	0.278	11612.49	0.326	13600.53	41761.54	100	0.282	0.0020256100
<117>	0.139	1462.0	0.046	479.0	0.038	397.0	0.777	8162.0	10500.0	1196.0	0.407	15334.82	0.278	10536.12	0.316	12014.96	37885.9	100	0.139	0.0004756860
<157>	0.329	3740.0	0.022	255.0	0.025	285.0	0.623	7086.0	11366.0	330.0	0.42	17378.85	0.274	11370.07	0.306	12652.63	41401.55	100	0.327	0.0019859000
<108>	0.754	6705.0	0.006	55.0	0.009	81.0	0.23	2048.0	8889.0	2807.0	0.658	35061.55	0.162	8626.9	0.18	9595.02	53283.47	100	0.754	0.0117691000
<158>	0.463	3849.0	0.046	379.0	0.062	519.0	0.429	3564.0	8311.0	3385.0	0.451	18700.41	0.272	11274.49	0.277	11479.07	41453.97	100	0.46	0.0040065300
<159>	0.611	4281.0	0.036	250.0	0.052	362.0	0.302	2113.0	7006.0	4690.0	0.521	25207.8	0.225	10837.31	0.255	12299.44	48344.55	100	0.608	0.0074805200
<160>	0.642	5686.0	0.007	64.0	0.006	57.0	0.345	3052.0	8859.0	2837.0	0.54	35660.28	0.229	15127.08	0.231	15257.5	66044.86	100	0.637	0.0110025000
<146>	0.214	2503.0	0.081	950.0	0.122	1418.0	0.583	6798.0	11669.0	27.0	0.354	22532.22	0.322	20603.77	0.324	20742.76	63878.75	100	0.209	0.0017899200
<153>	0.787	8834.0	0.004	43.0	0.004	41.0	0.205	2301.0	11219.0	477.0	0.666	49651.03	0.166	12198.48	0.169	12398.74	74248.25	100	0.785	0.0228000000
<161>	0.386	4467.0	0.068	788.0	0.063	726.0	0.483	5593.0	11574.0	122.0	0.392	26285.77	0.304	20312.0	0.304	20349.12	66946.89	100	0.383	0.0037136100
<80>	0.836	6654.0	0.021	169.0	0.021	165.0	0.123	976.0	7964.0	3732.0	0.642	42577.71	0.183	12121.61	0.175	11578.81	66278.13	100	0.835	0.0181659000
<162>	0.738	6121.0	0.017	145.0	0.019	154.0	0.226	1879.0	8299.0	3397.0	0.526	37285.19	0.231	16446.7	0.242	17216.24	70948.13	100	0.736	0.0169310000
<1>	0.844	3847.0	0.028	126.0	0.032	147.0	0.096	439.0	4559.0	7137.0	0.633	49626.38	0.18	14114.32	0.187	14706.87	78447.57	100	0.843	0.0148384000
<163>	0.844	3847.0	0.028	126.0	0.032	147.0	0.096	439.0	4559.0	7137.0	0.635	50599.5	0.179	14248.92	0.186	14838.55	79686.97	100	0.843	0.0160898000
